 *tel    numcsi   CsIInVoltage     errCsIInVoltage           CsIE       errCsIE
    0         0      0.0233877    0.000233877        13.0537       0.130537
    0         0      0.0950042    0.000950042        26.8553       0.268553
    0         0       0.169954     0.00169954        39.3627       0.393627
    0         0       0.253385     0.00253385        52.0447       0.520447
    0         0        0.34312      0.0034312        65.3853       0.653853
    0         0       0.433021     0.00433021         78.534        0.78534
    0         0       0.524241     0.00524241        91.5579       0.915579
    0         0       0.614057     0.00614057         104.48         1.0448
    0         0       0.703614     0.00703614        117.314        1.17314
    0         0       0.794793     0.00794793        130.068        1.30068
    0         0       0.892206     0.00892206        143.723        1.43723
    0         0       0.983052     0.00983052        156.336        1.56336
    0         0        1.08317      0.0108317        169.858        1.69858
    0         0         1.1769       0.011769        182.363        1.82363
    0         0         1.2798       0.012798        195.783        1.95783
    0         0         1.3773       0.013773        208.207        2.08207
    0         0        1.48451      0.0148451         221.55         2.2155
    0         0        1.59324      0.0159324         234.86         2.3486
    0         0        1.69616      0.0169616        247.196        2.47196
    0         0        1.80707      0.0180707        260.459        2.60459
    0         0        1.91862      0.0191862        273.701        2.73701
    0         0        2.03124      0.0203124        286.926        2.86926
    0         1      0.0204121    0.000204121        11.7644       0.117644
    0         1       0.110657     0.00110657        26.7989       0.267989
    0         1       0.202817     0.00202817        42.1429       0.421429
    0         1       0.303476     0.00303476        57.9944       0.579944
    0         1        0.39714      0.0039714        72.2615       0.722615
    0         1       0.498365     0.00498365        87.2581       0.872581
    0         1       0.607645     0.00607645        102.999        1.02999
    0         1       0.709269     0.00709269        117.452        1.17452
    0         1       0.817625     0.00817625        132.736        1.32736
    0         1        0.92655      0.0092655        147.853        1.47853
    0         1        1.03682      0.0103682        162.836        1.62836
    0         1        1.14873      0.0114873        177.713        1.77713
    0         1        1.26375      0.0126375        192.502        1.92502
    0         1        1.38118      0.0138118        207.221        2.07221
    0         1        1.50958      0.0150958        222.856        2.22856
    0         1        1.63176      0.0163176        237.467        2.37467
    0         1         1.7562       0.017562        252.038        2.52038
    0         1        1.88868      0.0188868        267.547        2.67547
    0         1        2.01381      0.0201381         282.06         2.8206
    0         1        2.14878      0.0214878        297.515        2.97515
    0         1        2.28309      0.0228309         312.95         3.1295
    0         1        2.40966      0.0240966        327.407        3.27407
    0         2      0.0348195    0.000348195        13.9617       0.139617
    0         2       0.123394     0.00123394        28.4784       0.284784
    0         2       0.217498     0.00217498        43.2517       0.432517
    0         2       0.318711     0.00318711        58.5912       0.585912
    0         2       0.420182     0.00420182         73.508        0.73508
    0         2       0.522391     0.00522391        88.0991       0.880991
    0         2        0.63123      0.0063123        103.445        1.03445
    0         2       0.741322     0.00741322        118.548        1.18548
    0         2       0.850101     0.00850101        133.454        1.33454
    0         2       0.960538     0.00960538        148.194        1.48194
