 *tel    numcsi   CsIInChannel     errCsIInChannel           CsIE       errCsIE
    0         0             90            0.5        20.6271       0.206271
    0         0            126            0.5        32.2062       0.322062
    0         0            166            0.5        43.0112       0.430112
    0         0            214            0.5        54.4797       0.544797
    0         0            266            0.5        65.8988       0.658988
    0         0            318            0.5        76.7193       0.767193
    0         0            374            0.5        87.9547       0.879547
    0         0            430            0.5        98.8909       0.988909
    0         0            486            0.5        109.601        1.09601
    0         0            546            0.5         120.87         1.2087
    0         0            606            0.5        131.957        1.31957
    0         0            666            0.5        142.882        1.42882
    0         0            726            0.5        153.659        1.53659
    0         0            786            0.5        164.301        1.64301
    0         0            850            0.5        175.513        1.75513
    0         0            914            0.5        186.593        1.86593
    0         0            978            0.5         197.55         1.9755
    0         0           1042            0.5        208.393        2.08393
    0         0           1110            0.5        219.796        2.19796
    0         0           1174            0.5        230.426        2.30426
    0         0           1242            0.5         241.62         2.4162
    0         0           1310            0.5        252.717        2.52717
    0         1             76            0.5        19.1098       0.191098
    0         1            136            0.5         34.578        0.34578
    0         1            196            0.5        49.0768       0.490768
    0         1            262            0.5        64.2532       0.642532
    0         1            328            0.5        78.7855       0.787855
    0         1            400            0.5        94.0357       0.940357
    0         1            478            0.5        109.965        1.09965
    0         1            550            0.5         124.21         1.2421
    0         1            628            0.5        139.218        1.39218
    0         1            712            0.5        154.958        1.54958
    0         1            790            0.5        169.237        1.69237
    0         1            874            0.5        184.299        1.84299
    0         1            958            0.5        199.076        1.99076
    0         1           1048            0.5        214.633        2.14633
    0         1           1138            0.5        229.941        2.29941
    0         1           1222            0.5        244.032        2.44032
    0         1           1318            0.5        259.931        2.59931
    0         1           1408            0.5         274.66         2.7466
    0         1           1498            0.5         289.24         2.8924
    0         1           1594            0.5        304.646        3.04646
    0         1           1690            0.5        319.918        3.19918
    0         1           1780            0.5        334.128        3.34128
    0         2             92            0.5        19.9855       0.199855
    0         2            147            0.5        34.0881       0.340881
    0         2            207            0.5        48.1681       0.481681
