 *tel    numcsi   CsIInVoltage     errCsIInVoltage           CsIE       errCsIE
    0         0      0.0233877    0.000233877        12.1865       0.121865
    0         0      0.0950042    0.000950042        25.4348       0.254348
    0         0       0.176876     0.00176876        38.6187       0.386187
    0         0       0.266972     0.00266972        51.9637       0.519637
    0         0       0.357205     0.00357205        64.9999       0.649999
    0         0       0.446813     0.00446813        77.9047       0.779047
    0         0       0.538127     0.00538127        90.7289       0.907289
    0         0         0.6281       0.006281         103.49         1.0349
    0         0       0.717665     0.00717665        116.196        1.16196
    0         0       0.815179     0.00815179        129.827        1.29827
    0         0       0.906454     0.00906454         142.44         1.4244
    0         0        1.00435      0.0100435        155.983        1.55983
    0         0        1.09721      0.0109721        168.527        1.68527
    0         0        1.19141      0.0119141        181.044        1.81044
    0         0        1.29503      0.0129503        194.499        1.94499
    0         0        1.40053      0.0140053        207.931        2.07931
    0         0        1.50017      0.0150017        220.388        2.20388
    0         0        1.60923      0.0160923        233.788        2.33788
    0         0        1.71174      0.0171174        246.219        2.46219
    0         0        1.82302      0.0182302        259.596        2.59596
    0         0        1.93489      0.0193489        272.962        2.72962
    0         1      0.0204121    0.000204121        12.0924       0.120924
    0         1       0.117926     0.00117926        27.7051       0.277051
    0         1       0.209965     0.00209965          42.49         0.4249
    0         1       0.310821     0.00310821        57.8565       0.578565
    0         1       0.411754     0.00411754        72.8157       0.728157
    0         1       0.512887     0.00512887         87.475        0.87475
    0         1       0.621866     0.00621866        102.932        1.02932
    0         1        0.72394      0.0072394         117.18         1.1718
    0         1       0.832221     0.00832221        132.299        1.32299
    0         1       0.941442     0.00941442          147.3          1.473
    0         1        1.05183      0.0105183         162.21         1.6221
    0         1        1.16413      0.0116413        177.048        1.77048
    0         1        1.28732      0.0128732        192.814        1.92814
    0         1        1.40552      0.0140552        207.549        2.07549
    0         1        1.52584      0.0152584        222.249        2.22249
    0         1        1.65595      0.0165595        237.898        2.37898
    0         1        1.78083      0.0178083        252.548        2.52548
    0         1        1.90499      0.0190499        267.179        2.67179
    0         1        2.03946      0.0203946        282.769        2.82769
    0         1        2.16568      0.0216568        297.372        2.97372
    0         1        2.29967      0.0229967        312.935        3.12935
    0         1        2.42691      0.0242691        327.516        3.27516
    0         2      0.0271294    0.000271294        12.9085       0.129085
    0         2       0.116301     0.00116301        26.9764       0.269764
    0         2       0.210145     0.00210145        41.2812       0.412812
