 *tel    numcsi   CsIInVoltage     errCsIInVoltage           CsIE       errCsIE
    0         0      0.0307874    0.000307874        7.68887      0.0768887
    0         0       0.149341     0.00149341        23.3064       0.233064
    0         0       0.273745     0.00273745        39.5796       0.395796
    0         0        0.39205      0.0039205        55.5622       0.555622
    0         0       0.503185     0.00503185        71.0812       0.710812
    0         0       0.614057     0.00614057        87.0115       0.870115
    0         0       0.724728     0.00724728        103.326        1.03326
    0         0       0.828812     0.00828812        118.956        1.18956
    0         0       0.941556     0.00941556        135.974        1.35974
    0         0        1.04037      0.0104037        151.149        1.51149
    0         0        1.14741      0.0114741        167.695        1.67695
    0         0        1.24964      0.0124964        183.399        1.83399
    0         0         1.3548       0.013548        199.349        1.99349
    0         0        1.46147      0.0146147        215.534        2.15534
    0         0        1.56961      0.0156961        231.955        2.31955
    0         0        1.67294      0.0167294        247.408        2.47408
    0         0        1.77574      0.0177574        263.049        2.63049
    0         0        1.87924      0.0187924        278.871        2.78871
    0         0        1.98314      0.0198314        294.879        2.94879
    0         0        2.08769      0.0208769        311.069        3.11069
    0         0        2.19354      0.0219354        327.426        3.27426
    0         0        2.29864      0.0229864        343.955        3.43955
    0         1      0.0279281    0.000279281        7.86382      0.0786382
    0         1       0.138308     0.00138308        22.4596       0.224596
    0         1       0.252358     0.00252358        37.9996       0.379996
    0         1       0.361405     0.00361405        52.7364       0.527364
    0         1       0.469748     0.00469748        67.7005       0.677005
    0         1       0.578899     0.00578899        82.9211       0.829211
    0         1       0.679775     0.00679775        97.3728       0.973728
    0         1       0.781204     0.00781204        112.065        1.12065
    0         1       0.882434     0.00882434        127.001        1.27001
    0         1       0.985766     0.00985766         142.18         1.4218
    0         1        1.08924      0.0108924        157.598        1.57598
    0         1        1.18721      0.0118721        172.124        1.72124
    0         1        1.29526      0.0129526        187.987        1.87987
    0         1        1.39738      0.0139738        202.919        2.02919
    0         1        1.49315      0.0149315         216.87         2.1687
    0         1        1.59883      0.0159883        232.165        2.32165
    0         1        1.70559      0.0170559        247.634        2.47634
    0         1        1.80522      0.0180522        262.076        2.62076
    0         1        1.91328      0.0191328        277.875        2.77875
    0         1        2.01381      0.0201381         292.62         2.9262
    0         1        2.11435      0.0211435        307.499        3.07499
    0         2      0.0348195    0.000348195        8.52298      0.0852298
    0         2        0.15174      0.0015174        23.5269       0.235269
    0         2       0.268075     0.00268075        38.4545       0.384545
    0         2       0.383816     0.00383816        53.5372       0.535372
    0         2       0.500981     0.00500981        68.8316       0.688316
    0         2       0.609874     0.00609874        83.3835       0.833835
    0         2       0.719494     0.00719494        98.1516       0.981516
    0         2       0.828286     0.00828286        113.141        1.13141
