 *tel    numcsi   CsIInVoltage     errCsIInVoltage           CsIE       errCsIE
    0         0      0.0233877    0.000233877        13.8504       0.138504
    0         0      0.0883465    0.000883465        26.8951       0.268951
    0         0       0.163056     0.00163056        39.8981       0.398981
    0         0       0.253385     0.00253385        53.9842       0.539842
    0         0       0.336068     0.00336068         66.551        0.66551
    0         0       0.426184     0.00426184        79.9386       0.799386
    0         0       0.510228     0.00510228        92.1525       0.921525
    0         0       0.600001     0.00600001        105.256        1.05256
    0         0       0.689722     0.00689722        118.239        1.18239
    0         0       0.781053     0.00781053        131.114        1.31114
    0         0       0.877939     0.00877939         144.87         1.4487
    0         0       0.969126     0.00969126        157.552        1.57552
    0         0        1.06189      0.0106189        170.156        1.70156
    0         0        1.16219      0.0116219        183.652        1.83652
    0         0        1.25712      0.0125712        196.119        1.96119
    0         0        1.36222      0.0136222        209.485        2.09485
    0         0        1.46907      0.0146907        222.796        2.22796
    0         0        1.56961      0.0156961        235.113        2.35113
    0         0         1.6807       0.016807        248.337        2.48337
    0         0        1.79139      0.0179139        261.523        2.61523
    0         0         1.9027       0.019027        274.678        2.74678
    0         0         2.0149       0.020149        287.806        2.87806
    0         1      0.0204121    0.000204121        11.3834       0.113834
    0         1       0.110657     0.00110657        26.9714       0.269714
    0         1       0.209965     0.00209965        43.9882       0.439882
    0         1       0.303476     0.00303476        59.0869       0.590869
    0         1       0.411754     0.00411754        75.8989       0.758989
    0         1       0.512887     0.00512887        91.1401       0.911401
    0         1       0.621866     0.00621866        107.096        1.07096
    0         1        0.73844      0.0073844        123.779        1.23779
    0         1       0.846638     0.00846638        139.168        1.39168
    0         1       0.963735     0.00963735        155.369        1.55369
    0         1        1.08185      0.0108185        171.389        1.71389
    0         1        1.20249      0.0120249        187.265        1.87265
    0         1        1.32681      0.0132681        203.021        2.03021
    0         1         1.4609       0.014609        219.655        2.19655
    0         1         1.5905       0.015905        235.228        2.35228
    0         1        1.73097      0.0173097        251.703        2.51703
    0         1        1.86414      0.0186414        267.153        2.67153
    0         1        2.00543      0.0200543         283.52         2.8352
    0         1        2.14878      0.0214878        299.844        2.99844
    0         1        2.28309      0.0228309        315.176        3.15176
    0         1        2.42691      0.0242691        331.441        3.31441
    0         2      0.0271294    0.000271294        12.3115       0.123115
    0         2       0.116301     0.00116301        27.5603       0.275603
    0         2       0.210145     0.00210145        42.8753       0.428753
    0         2       0.304014     0.00304014        57.5868       0.575868
    0         2       0.405502     0.00405502        72.9435       0.729435
    0         2       0.508125     0.00508125        87.9067       0.879067
    0         2       0.609874     0.00609874        102.553        1.02553
    0         2       0.719494     0.00719494        117.957        1.17957
    0         2       0.820922     0.00820922        132.108        1.32108
    0         2       0.930631     0.00930631        147.068        1.47068
    0         2        1.04902      0.0104902         162.83         1.6283
    0         2         1.1619       0.011619        177.449        1.77449
    0         2        1.28546      0.0128546          192.9          1.929
    0         2        1.40434      0.0140434         207.27         2.0727
    0         2        1.53368      0.0153368         222.49         2.2249
    0         2         1.6658       0.016658        237.613        2.37613
    0         2        1.79832      0.0179832        252.651        2.52651
    0         2        1.93238      0.0193238        267.614        2.67614
    0         2        2.06781      0.0206781        282.509        2.82509
    0         2         2.2025       0.022025        297.346        2.97346
    0         2        2.33911      0.0233911        312.129        3.12129
    0         3      0.0246106    0.000246106        13.2023       0.132023
    0         3       0.109839     0.00109839        27.6633       0.276633
    0         3       0.192549     0.00192549        40.9196       0.409196
    0         3       0.289586     0.00289586         55.978        0.55978
    0         3       0.380617     0.00380617        69.4675       0.694675
    0         3       0.477959     0.00477959        83.7405       0.837405
    0         3        0.57535      0.0057535        97.7305       0.977305
    0         3       0.672753     0.00672753        111.491        1.11491
    0         3        0.77067      0.0077067        125.061        1.25061
    0         3       0.875779     0.00875779        139.498        1.39498
    0         3       0.983005     0.00983005        153.781        1.53781
    0         3        1.09023      0.0109023        167.935        1.67935
    0         3        1.19952      0.0119952         181.98         1.8198
    0         3        1.31265      0.0131265        195.932        1.95932
    0         3        1.42713      0.0142713        209.805        2.09805
    0         3        1.54359      0.0154359        223.609        2.23609
