 *tel    numcsi   CsIInChannel     errCsIInChannel           CsIE       errCsIE
    0         0             92            0.5        13.8504       0.138504
    0         0            146            0.5        26.8951       0.268951
    0         0            212            0.5        39.8981       0.398981
    0         0            290            0.5        53.9842       0.539842
    0         0            362            0.5         66.551        0.66551
    0         0            440            0.5        79.9386       0.799386
    0         0            512            0.5        92.1525       0.921525
    0         0            590            0.5        105.256        1.05256
    0         0            668            0.5        118.239        1.18239
    0         0            746            0.5        131.114        1.31114
    0         0            830            0.5         144.87         1.4487
    0         0            908            0.5        157.552        1.57552
    0         0            986            0.5        170.156        1.70156
    0         0           1070            0.5        183.652        1.83652
    0         0           1148            0.5        196.119        1.96119
    0         0           1232            0.5        209.485        2.09485
    0         0           1316            0.5        222.796        2.22796
    0         0           1394            0.5        235.113        2.35113
    0         0           1478            0.5        248.337        2.48337
    0         0           1562            0.5        261.523        2.61523
    0         0           1646            0.5        274.678        2.74678
    0         0           1730            0.5        287.806        2.87806
    0         1             76            0.5        11.3834       0.113834
    0         1            148            0.5        26.9714       0.269714
    0         1            232            0.5        43.9882       0.439882
    0         1            310            0.5        59.0869       0.590869
    0         1            400            0.5        75.8989       0.758989
    0         1            484            0.5        91.1401       0.911401
    0         1            574            0.5        107.096        1.07096
    0         1            670            0.5        123.779        1.23779
    0         1            760            0.5        139.168        1.39168
    0         1            856            0.5        155.369        1.55369
    0         1            952            0.5        171.389        1.71389
    0         1           1048            0.5        187.265        1.87265
    0         1           1144            0.5        203.021        2.03021
    0         1           1246            0.5        219.655        2.19655
    0         1           1342            0.5        235.228        2.35228
    0         1           1444            0.5        251.703        2.51703
    0         1           1540            0.5        267.153        2.67153
    0         1           1642            0.5         283.52         2.8352
    0         1           1744            0.5        299.844        2.99844
    0         1           1840            0.5        315.176        3.15176
    0         1           1942            0.5        331.441        3.31441
    0         2             93            0.5        12.3115       0.123115
    0         2            165            0.5        27.5603       0.275603
    0         2            243            0.5        42.8753       0.428753
    0         2            321            0.5        57.5868       0.575868
    0         2            405            0.5        72.9435       0.729435
    0         2            489            0.5        87.9067       0.879067
    0         2            573            0.5        102.553        1.02553
    0         2            663            0.5        117.957        1.17957
    0         2            747            0.5        132.108        1.32108
    0         2            837            0.5        147.068        1.47068
    0         2            933            0.5         162.83         1.6283
    0         2           1023            0.5        177.449        1.77449
    0         2           1119            0.5          192.9          1.929
    0         2           1209            0.5         207.27         2.0727
    0         2           1305            0.5         222.49         2.2249
    0         2           1401            0.5        237.613        2.37613
    0         2           1497            0.5        252.651        2.52651
    0         2           1593            0.5        267.614        2.67614
    0         2           1689            0.5        282.509        2.82509
    0         2           1785            0.5        297.346        2.97346
    0         2           1881            0.5        312.129        3.12129
    0         3             45            0.5        13.2023       0.132023
    0         3            111            0.5        27.6633       0.276633
    0         3            177            0.5        40.9196       0.409196
    0         3            255            0.5         55.978        0.55978
    0         3            327            0.5        69.4675       0.694675
    0         3            405            0.5        83.7405       0.837405
    0         3            483            0.5        97.7305       0.977305
    0         3            561            0.5        111.491        1.11491
    0         3            639            0.5        125.061        1.25061
    0         3            723            0.5        139.498        1.39498
    0         3            807            0.5        153.781        1.53781
    0         3            891            0.5        167.935        1.67935
    0         3            975            0.5         181.98         1.8198
    0         3           1059            0.5        195.932        1.95932
    0         3           1143            0.5        209.805        2.09805
    0         3           1227            0.5        223.609        2.23609
    0         3           1311            0.5        237.354        2.37354
    0         3           1395            0.5        251.047        2.51047
    0         3           1485            0.5         265.67         2.6567
    0         3           1569            0.5        279.278        2.79278
    0         3           1659            0.5         293.82         2.9382
    0         3           1743            0.5        307.362        3.07362
    1         0   6.95264e-310   4.94066e-324              0   6.95264e-310
    1         0            176            0.5        28.7589       0.287589
    1         0            267            0.5        45.9266       0.459266
    1         0            365            0.5        62.8762       0.628762
    1         0            463            0.5        79.2908       0.792908
    1         0            568            0.5        96.5552       0.965552
    1         0            673            0.5        113.564        1.13564
    1         0            778            0.5        130.356        1.30356
    1         0            883            0.5        146.955        1.46955
    1         0            995            0.5        164.477        1.64477
    1         0           1107            0.5        181.831        1.81831
    1         0           1212            0.5        197.972        1.97972
    1         0           1324            0.5        215.068        2.15068
    1         0           1436            0.5        232.057        2.32057
    1         0           1548            0.5        248.955        2.48955
    1         0           1667            0.5        266.823        2.66823
    1         0           1779            0.5        283.569        2.83569
    1         0           1891            0.5        300.256        3.00256
    1         0           2010            0.5        317.931        3.17931
    1         0           2122            0.5         334.52         3.3452
    1         0           2234            0.5        351.072        3.51072
    1         1             93            0.5        11.9123       0.119123
    1         1            189            0.5         30.453        0.30453
    1         1            285            0.5        48.1012       0.481012
    1         1            389            0.5        66.5662       0.665662
    1         1            493            0.5        84.5215       0.845215
    1         1            597            0.5        102.078        1.02078
    1         1            709            0.5        120.627        1.20627
    1         1            821            0.5        138.874        1.38874
    1         1            933            0.5        156.872        1.56872
    1         1           1045            0.5        174.663        1.74663
    1         1           1157            0.5         192.28         1.9228
    1         1           1277            0.5         210.99         2.1099
    1         1           1389            0.5         228.32         2.2832
    1         1           1509            0.5        246.767        2.46767
    1         1           1621            0.5        263.885        2.63885
    1         1           1741            0.5        282.132        2.82132
    1         1           1861            0.5        300.295        3.00295
    1         1           1981            0.5         318.38         3.1838
    1         1           2101            0.5        336.396        3.36396
    1         1           2221            0.5         354.35         3.5435
    1         1           2341            0.5        372.246        3.72246
    1         2             78            0.5        13.0043       0.130043
    1         2            156            0.5        28.7685       0.287685
    1         2            234            0.5        43.7999       0.437999
    1         2            312            0.5        58.3349       0.583349
    1         2            396            0.5         73.565        0.73565
    1         2            480            0.5        88.4475       0.884475
    1         2            564            0.5        103.049        1.03049
    1         2            654            0.5        118.439        1.18439
    1         2            744            0.5         133.61         1.3361
    1         2            834            0.5        148.599        1.48599
    1         2            924            0.5        163.435        1.63435
    1         2           1014            0.5         178.14         1.7814
    1         2           1110            0.5        193.705        1.93705
    1         2           1200            0.5        208.199        2.08199
    1         2           1296            0.5         223.57         2.2357
    1         2           1392            0.5         238.86         2.3886
    1         2           1482            0.5        253.131        2.53131
    1         2           1578            0.5        268.296        2.68296
    1         2           1674            0.5        283.406        2.83406
    1         2           1770            0.5        298.471        2.98471
    1         2           1866            0.5        313.492        3.13492
    1         3            104            0.5        11.7332       0.117332
    1         3            170            0.5        27.0671       0.270671
    1         3            242            0.5        41.8692       0.418692
    1         3            320            0.5        57.0297       0.570297
    1         3            404            0.5        72.7213       0.727213
    1         3            488            0.5        87.9467       0.879467
    1         3            572            0.5        102.823        1.02823
    1         3            656            0.5        117.429        1.17429
    1         3            746            0.5        132.841        1.32841
    1         3            830            0.5        147.049        1.47049
    1         3            920            0.5        162.118        1.62118
    1         3           1010            0.5        177.058        1.77058
    1         3           1106            0.5         192.88         1.9288
    1         3           1196            0.5        207.625        2.07625
    1         3           1286            0.5        222.301        2.22301
    1         3           1382            0.5        237.893        2.37893
    1         3           1472            0.5        252.464        2.52464
    1         3           1568            0.5        267.964        2.67964
    1         3           1658            0.5        282.464        2.82464
    1         3           1754            0.5        297.904        2.97904
    1         3           1844            0.5        312.358        3.12358
    2         0             74            0.5         12.486        0.12486
    2         0            134            0.5        26.4385       0.264385
    2         0            206            0.5        40.0647       0.400647
    2         0            284            0.5        54.0763       0.540763
    2         0            368            0.5        68.8818       0.688818
    2         0            446            0.5         82.423        0.82423
    2         0            530            0.5        96.7818       0.967818
    2         0            614            0.5        110.912        1.10912
    2         0            698            0.5        124.827        1.24827
    2         0            782            0.5        138.546        1.38546
    2         0            866            0.5        152.087        1.52087
    2         0            956            0.5        166.422        1.66422
    2         0           1046            0.5        180.598        1.80598
    2         0           1136            0.5        194.635        1.94635
    2         0           1226            0.5        208.551        2.08551
    2         0           1316            0.5        222.362        2.22362
    2         0           1412            0.5         236.99         2.3699
    2         0           1502            0.5         250.62         2.5062
    2         0           1592            0.5        264.181        2.64181
    2         0           1688            0.5        278.578        2.78578
    2         0           1784            0.5        292.913        2.92913
    2         1            102            0.5        10.4571       0.104571
    2         1            152            0.5        24.5617       0.245617
    2         1            212            0.5         38.411        0.38411
    2         1            282            0.5        52.9908       0.529908
    2         1            352            0.5        66.8185       0.668185
    2         1            422            0.5        80.2346       0.802346
    2         1            497            0.5        94.3085       0.943085
    2         1            572            0.5        108.154        1.08154
    2         1            652            0.5        122.727        1.22727
    2         1            727            0.5        136.243        1.36243
    2         1            807            0.5        150.533        1.50533
    2         1            887            0.5        164.719        1.64719
    2         1            967            0.5        178.818        1.78818
    2         1           1047            0.5        192.849        1.92849
    2         1           1127            0.5        206.824        2.06824
    2         1           1207            0.5        220.756        2.20756
    2         1           1287            0.5        234.654        2.34654
    2         1           1367            0.5        248.525        2.48525
    2         1           1447            0.5        262.379        2.62379
    2         1           1527            0.5        276.219        2.76219
    2         1           1612            0.5        290.915        2.90915
    2         2             76            0.5        11.3748       0.113748
    2         2            126            0.5        21.9927       0.219927
    2         2            181            0.5        33.0405       0.330405
    2         2            241            0.5        44.5528       0.445528
    2         2            301            0.5         55.629        0.55629
    2         2            361            0.5        66.3577       0.663577
    2         2            426            0.5        77.6635       0.776635
    2         2            491            0.5        88.6995       0.886995
    2         2            556            0.5        99.5137       0.995137
    2         2            626            0.5        110.954        1.10954
    2         2            691            0.5        121.418        1.21418
    2         2            761            0.5        132.543        1.32543
    2         2            831            0.5        143.542        1.43542
    2         2            901            0.5        154.437        1.54437
    2         2            971            0.5        165.244        1.65244
    2         2           1046            0.5        176.738        1.76738
    2         2           1116            0.5        187.401        1.87401
    2         2           1191            0.5        198.767        1.98767
    2         2           1261            0.5         209.33         2.0933
    2         2           1336            0.5        220.606        2.20606
    2         2           1411            0.5        231.847        2.31847
    2         2           1481            0.5         242.31         2.4231
    2         3             99            0.5        9.86739      0.0986739
    2         3            154            0.5        24.6477       0.246477
    2         3            219            0.5        38.3379       0.383379
    2         3            294            0.5        52.7666       0.527666
    2         3            369            0.5        66.6654       0.666654
    2         3            444            0.5        80.2594       0.802594
    2         3            524            0.5        94.4956       0.944956
    2         3            604            0.5        108.494        1.08494
    2         3            684            0.5        122.282        1.22282
    2         3            769            0.5        136.727        1.36727
    2         3            854            0.5        150.986        1.50986
    2         3            934            0.5        164.258        1.64258
    2         3           1019            0.5        178.223        1.78223
    2         3           1109            0.5        192.876        1.92876
    2         3           1194            0.5        206.604        2.06604
    2         3           1279            0.5         220.24         2.2024
    2         3           1369            0.5        234.592        2.34592
    2         3           1459            0.5        248.865        2.48865
    2         3           1544            0.5        262.285        2.62285
    2         3           1634            0.5        276.436        2.76436
    2         3           1724            0.5        290.538        2.90538
    3         0             76            0.5        12.2057       0.122057
    3         0            121            0.5        23.6208       0.236208
    3         0            176            0.5        34.9178       0.349178
    3         0            231            0.5        45.1137       0.451137
