 *tel    numcsi   CsIInChannel     errCsIInChannel           CsIE       errCsIE
    0         0             98            0.5        7.68887      0.0768887
    0         0            200            0.5        23.3064       0.233064
    0         0            308            0.5        39.5796       0.395796
    0         0            410            0.5        55.5622       0.555622
    0         0            506            0.5        71.0812       0.710812
    0         0            602            0.5        87.0115       0.870115
    0         0            698            0.5        103.326        1.03326
    0         0            788            0.5        118.956        1.18956
    0         0            884            0.5        135.974        1.35974
    0         0            968            0.5        151.149        1.51149
    0         0           1058            0.5        167.695        1.67695
    0         0           1142            0.5        183.399        1.83399
    0         0           1226            0.5        199.349        1.99349
    0         0           1310            0.5        215.534        2.15534
    0         0           1394            0.5        231.955        2.31955
    0         0           1472            0.5        247.408        2.47408
    0         0           1550            0.5        263.049        2.63049
    0         0           1628            0.5        278.871        2.78871
    0         0           1706            0.5        294.879        2.94879
    0         0           1784            0.5        311.069        3.11069
    0         0           1862            0.5        327.426        3.27426
    0         0           1940            0.5        343.955        3.43955
    0         1             82            0.5        7.86382      0.0786382
    0         1            172            0.5        22.4596       0.224596
    0         1            268            0.5        37.9996       0.379996
    0         1            358            0.5        52.7364       0.527364
    0         1            448            0.5        67.7005       0.677005
    0         1            538            0.5        82.9211       0.829211
    0         1            622            0.5        97.3728       0.973728
    0         1            706            0.5        112.065        1.12065
    0         1            790            0.5        127.001        1.27001
    0         1            874            0.5         142.18         1.4218
    0         1            958            0.5        157.598        1.57598
    0         1           1036            0.5        172.124        1.72124
    0         1           1120            0.5        187.987        1.87987
    0         1           1198            0.5        202.919        2.02919
    0         1           1270            0.5         216.87         2.1687
    0         1           1348            0.5        232.165        2.32165
    0         1           1426            0.5        247.634        2.47634
    0         1           1498            0.5        262.076        2.62076
    0         1           1576            0.5        277.875        2.77875
    0         1           1648            0.5         292.62         2.9262
    0         1           1720            0.5        307.499        3.07499
    0         2             99            0.5        8.52298      0.0852298
    0         2            195            0.5        23.5269       0.235269
    0         2            291            0.5        38.4545       0.384545
    0         2            387            0.5        53.5372       0.535372
    0         2            483            0.5        68.8316       0.688316
