 *tel    numcsi   CsIInChannel     errCsIInChannel           CsIE       errCsIE
    1         3            410            0.5        72.3186       0.723186
    1         3            494            0.5        87.2179       0.872179
    1         3            584            0.5        102.863        1.02863
    1         3            668            0.5         117.24         1.1724
    1         3            758            0.5        132.458        1.32458
    1         3            848            0.5        147.526        1.47526
    1         3            938            0.5        162.475        1.62475
    1         3           1028            0.5        177.332        1.77332
    1         3           1118            0.5        192.115        1.92115
    1         3           1214            0.5         207.82         2.0782
    1         3           1304            0.5        222.495        2.22495
    1         3           1394            0.5        237.135        2.37135
    1         3           1490            0.5        252.718        2.52718
    1         3           1580            0.5        267.304        2.67304
    1         3           1676            0.5        282.844        2.82844
    1         3           1766            0.5        297.396        2.97396
    1         3           1862            0.5        312.909        3.12909
    2         0             74            0.5        11.5231       0.115231
    2         0            134            0.5         25.172        0.25172
    2         0            212            0.5        39.6689       0.396689
    2         0            290            0.5        53.4381       0.534381
    2         0            368            0.5        66.9683       0.669683
    2         0            452            0.5        81.3361       0.813361
    2         0            536            0.5        95.4995       0.954995
    2         0            620            0.5        109.465        1.09465
    2         0            704            0.5        123.249        1.23249
    2         0            794            0.5        137.833        1.37833
    2         0            878            0.5        151.293        1.51293
    2         0            968            0.5        165.572        1.65572
    2         0           1058            0.5        179.721        1.79721
    2         0           1148            0.5         193.76         1.9376
    2         0           1238            0.5        207.701        2.07701
    2         0           1328            0.5        221.558        2.21558
    2         0           1418            0.5        235.341        2.35341
    2         0           1514            0.5        249.974        2.49974
    2         0           1604            0.5        263.636        2.63636
    2         0           1694            0.5        277.248        2.77248
    2         0           1790            0.5        291.723        2.91723
    2         1            102            0.5        9.79091      0.0979091
    2         1            157            0.5        24.5594       0.245594
    2         1            222            0.5        38.9093       0.389093
    2         1            287            0.5        52.0415       0.520415
    2         1            362            0.5        66.5308       0.665308
    2         1            437            0.5        80.6354       0.806354
    2         1            512            0.5        94.4956       0.944956
    2         1            587            0.5        108.181        1.08181
    2         1            667            0.5        122.634        1.22634
    2         1            747            0.5        136.971        1.36971
    2         1            822            0.5        150.331        1.50331
    2         1            902            0.5        164.514        1.64514
    2         1            982            0.5        178.643        1.78643
    2         1           1062            0.5        192.732        1.92732
    2         1           1142            0.5        206.791        2.06791
    2         1           1222            0.5         220.83         2.2083
    2         1           1302            0.5        234.855        2.34855
    2         1           1382            0.5        248.872        2.48872
    2         1           1462            0.5        262.888        2.62888
    2         1           1542            0.5        276.907        2.76907
    2         1           1622            0.5        290.928        2.90928
    2         2             76            0.5        11.9142       0.119142
    2         2            126            0.5        22.1231       0.221231
    2         2            186            0.5        33.7352       0.337352
    2         2            246            0.5         44.851        0.44851
    2         2            306            0.5        55.5871       0.555871
    2         2            371            0.5        66.8807       0.668807
    2         2            436            0.5        77.8942       0.778942
    2         2            501            0.5        88.6814       0.886814
    2         2            566            0.5        99.2848       0.992848
    2         2            636            0.5        110.535        1.10535
    2         2            706            0.5        121.641        1.21641
    2         2            776            0.5         132.63         1.3263
    2         2            846            0.5        143.521        1.43521
    2         2            916            0.5        154.332        1.54332
    2         2            991            0.5        165.841        1.65841
    2         2           1061            0.5        176.527        1.76527
    2         2           1136            0.5        187.927        1.87927
    2         2           1206            0.5        198.529        1.98529
    2         2           1281            0.5        209.857        2.09857
    2         2           1351            0.5        220.404        2.20404
    2         2           1426            0.5        231.684        2.31684
    2         2           1501            0.5        242.948        2.42948
    2         3             99            0.5        9.41866      0.0941866
    2         3            154            0.5        23.6868       0.236868
    2         3            219            0.5        37.0329       0.370329
    2         3            294            0.5        51.1559       0.511559
    2         3            374            0.5        65.6927       0.656927
    2         3            454            0.5        79.9299       0.799299
    2         3            534            0.5        93.9369       0.939369
    2         3            614            0.5        107.746        1.07746
    2         3            694            0.5        121.382        1.21382
    2         3            779            0.5        135.704        1.35704
    2         3            864            0.5        149.875        1.49875
    2         3            949            0.5        163.919        1.63919
    2         3           1034            0.5        177.851        1.77851
    2         3           1119            0.5        191.687        1.91687
    2         3           1204            0.5        205.441        2.05441
    2         3           1294            0.5        219.926        2.19926
    2         3           1379            0.5        233.546        2.33546
    2         3           1469            0.5         247.91         2.4791
    2         3           1554            0.5         261.43         2.6143
    2         3           1644            0.5        275.704        2.75704
    3         0             81            0.5        12.8959       0.128959
    3         0            126            0.5        23.5945       0.235945
    3         0            181            0.5        34.4523       0.344523
    3         0            241            0.5        45.2438       0.452438
    3         0            306            0.5        56.4146       0.564146
    3         0            371            0.5        67.3023       0.673023
    3         0            441            0.5        78.8188       0.788188
    3         0            506            0.5        89.3613       0.893613
    3         0            576            0.5        100.578        1.00578
    3         0            646            0.5         111.67         1.1167
    3         0            716            0.5        122.653        1.22653
    3         0            786            0.5         133.54         1.3354
    3         0            856            0.5        144.341        1.44341
    3         0            931            0.5        155.832        1.55832
    3         0           1001            0.5        166.489        1.66489
    3         0           1076            0.5        177.843        1.77843
    3         0           1146            0.5        188.389        1.88389
    3         0           1221            0.5        199.639        1.99639
    3         0           1296            0.5        210.846        2.10846
    3         0           1366            0.5        221.271        2.21271
    3         0           1441            0.5        232.408        2.32408
    3         1            106            0.5        13.3825       0.133825
    3         1            150            0.5        23.2179       0.232179
    3         1            198            0.5        33.2794       0.332794
    3         1            250            0.5        43.5871       0.435871
    3         1            302            0.5        53.4128       0.534128
    3         1            358            0.5        63.5698       0.635698
    3         1            414            0.5         73.378        0.73378
    3         1            474            0.5        83.5814       0.835814
    3         1            534            0.5        93.5348       0.935348
    3         1            598            0.5        103.936        1.03936
    3         1            658            0.5        113.527        1.13527
    3         1            722            0.5        123.625        1.23625
    3         1            786            0.5        133.616        1.33616
    3         1            850            0.5        143.523        1.43523
    3         1            918            0.5         153.98         1.5398
    3         1            982            0.5        163.775        1.63775
    3         1           1046            0.5        173.535        1.73535
    3         1           1114            0.5        183.879        1.83879
    3         1           1178            0.5          193.6          1.936
    3         1           1246            0.5         203.92         2.0392
    3         2             97            0.5         13.791        0.13791
    3         2            130            0.5         23.783        0.23783
    3         2            166            0.5        33.9125       0.339125
    3         2            202            0.5        43.4776       0.434776
    3         2            241            0.5        53.3717       0.533717
    3         2            283            0.5        63.6187       0.636187
    3         2            325            0.5        73.5456       0.735456
    3         2            370            0.5        83.9108       0.839108
    3         2            412            0.5        93.3908       0.933908
    3         2            457            0.5        103.387        1.03387
    3         2            505            0.5        113.909        1.13909
    3         2            550            0.5        123.673        1.23673
    3         2            595            0.5        133.362        1.33362
    3         2            643            0.5        143.637        1.43637
    3         2            691            0.5        153.867        1.53867
    3         2            736            0.5        163.429        1.63429
    3         2            784            0.5         173.61         1.7361
    3         2            832            0.5        183.781        1.83781
    3         2            880            0.5        193.952        1.93952
    3         2            925            0.5        203.489        2.03489
    3         2            973            0.5        213.672        2.13672
    3         2           1021            0.5         223.87         2.2387
    3         3             81            0.5        11.8829       0.118829
    3         3            126            0.5        22.5012       0.225012
    3         3            181            0.5        33.5067       0.335067
    3         3            241            0.5        44.5552       0.445552
    3         3            306            0.5        55.9213       0.559213
    3         3            371            0.5        66.8643       0.668643
    3         3            436            0.5        77.4886       0.774886
    3         3            506            0.5        88.6483       0.886483
    3         3            576            0.5        99.5735       0.995735
    3         3            646            0.5        110.308        1.10308
    3         3            721            0.5        121.638        1.21638
    3         3            796            0.5        132.825        1.32825
    3         3            871            0.5        143.895        1.43895
    3         3            946            0.5        154.872        1.54872
    3         3           1021            0.5        165.773        1.65773
    3         3           1096            0.5        176.615        1.76615
    3         3           1171            0.5        187.409        1.87409
    3         3           1251            0.5        198.882        1.98882
    3         3           1326            0.5        209.609        2.09609
    3         3           1401            0.5        220.317        2.20317
    3         3           1481            0.5        231.721        2.31721
    4         0            111            0.5        8.87521      0.0887521
    4         0            156            0.5         19.104        0.19104
    4         0            221            0.5        30.8112       0.308112
    4         0            291            0.5        41.9483       0.419483
    4         0            361            0.5        52.4374       0.524374
    4         0            441            0.5        63.9799       0.639799
    4         0            516            0.5        74.4994       0.744994
    4         0            596            0.5        85.4687       0.854687
    4         0            681            0.5        96.8882       0.968882
    4         0            761            0.5         107.45         1.0745
    4         0            846            0.5        118.503        1.18503
    4         0            931            0.5        129.408        1.29408
    4         0           1021            0.5        140.816        1.40816
    4         0           1106            0.5        151.481        1.51481
    4         0           1196            0.5        162.672        1.62672
    4         0           1286            0.5        173.776        1.73776
    4         0           1376            0.5        184.806        1.84806
    4         0           1466            0.5        195.772        1.95772
    4         0           1556            0.5        206.685        2.06685
    4         0           1646            0.5        217.554        2.17554
    4         0           1741            0.5        228.985        2.28985
    4         1             78            0.5        8.84659      0.0884659
    4         1            132            0.5        20.5855       0.205855
    4         1            192            0.5        31.1709       0.311709
    4         1            264            0.5        42.2363       0.422363
    4         1            342            0.5         53.254        0.53254
    4         1            426            0.5        64.5709       0.645709
    4         1            510            0.5         75.585        0.75585
    4         1            594            0.5        86.4178       0.864178
    4         1            684            0.5        97.8874       0.978874
    4         1            768            0.5        108.497        1.08497
    4         1            858            0.5        119.783        1.19783
    4         1            948            0.5        130.999        1.30999
    4         1           1032            0.5        141.414        1.41414
    4         1           1122            0.5        152.524        1.52524
    4         1           1212            0.5        163.591        1.63591
    4         1           1302            0.5         174.62         1.7462
    4         1           1392            0.5        185.617        1.85617
    4         1           1482            0.5        196.586        1.96586
    4         1           1572            0.5        207.531        2.07531
    4         1           1662            0.5        218.457        2.18457
    4         1           1752            0.5        229.364        2.29364
    4         2            104            0.5        8.22682      0.0822682
    4         2            152            0.5          19.14         0.1914
    4         2            212            0.5        30.5407       0.305407
    4         2            278            0.5         41.709        0.41709
    4         2            344            0.5        52.1167       0.521167
    4         2            422            0.5        63.8525       0.638525
    4         2            494            0.5        74.3393       0.743393
    4         2            572            0.5        85.4418       0.854418
    4         2            650            0.5        96.3441       0.963441
    4         2            734            0.5        107.912        1.07912
    4         2            812            0.5        118.524        1.18524
    4         2            896            0.5         129.84         1.2984
    4         2            974            0.5        140.258        1.40258
    4         2           1058            0.5        151.399        1.51399
    4         2           1142            0.5        162.469        1.62469
    4         2           1226            0.5        173.481        1.73481
    4         2           1310            0.5        184.443        1.84443
    4         2           1394            0.5        195.362        1.95362
    4         2           1478            0.5        206.246        2.06246
    4         2           1568            0.5        217.872        2.17872
    4         2           1652            0.5        228.699        2.28699
    4         2           1736            0.5        239.503        2.39503
    4         3             98            0.5        8.34767      0.0834767
    4         3            143            0.5        18.8957       0.188957
    4         3            193            0.5        28.6479       0.286479
    4         3            248            0.5        38.2627       0.382627
    4         3            313            0.5        48.8457       0.488457
    4         3            378            0.5        58.9374       0.589374
    4         3            443            0.5        68.7067       0.687067
    4         3            513            0.5        78.9647       0.789647
    4         3            578            0.5        88.2984       0.882984
    4         3            653            0.5         98.881        0.98881
    4         3            723            0.5        108.607        1.08607
    4         3            798            0.5         118.89         1.1889
    4         3            868            0.5        128.377        1.28377
    4         3            943            0.5         138.44         1.3844
    4         3           1018            0.5        148.412        1.48412
    4         3           1098            0.5         158.96         1.5896
    4         3           1173            0.5        168.778        1.68778
    4         3           1248            0.5        178.536        1.78536
    4         3           1328            0.5        188.887        1.88887
    4         3           1403            0.5        198.544        1.98544
    4         3           1483            0.5          208.8          2.088
    5         0             94            0.5        11.7474       0.117474
    5         0            149            0.5        22.9771       0.229771
    5         0            214            0.5        33.9447       0.339447
    5         0            284            0.5        44.5621       0.445621
    5         0            359            0.5        55.3292       0.553292
    5         0            439            0.5        66.4756       0.664756
    5         0            519            0.5        77.4236       0.774236
    5         0            604            0.5        88.9109       0.889109
    5         0            684            0.5         99.618        0.99618
    5         0            769            0.5        110.903        1.10903
    5         0            849            0.5         121.45         1.2145
    5         0            934            0.5        132.587        1.32587
    5         0           1019            0.5        143.661        1.43661
    5         0           1104            0.5        154.681        1.54681
    5         0           1189            0.5        165.652        1.65652
    5         0           1274            0.5         176.58         1.7658
    5         0           1359            0.5        187.469        1.87469
    5         0           1449            0.5        198.964        1.98964
    5         0           1534            0.5         209.79         2.0979
    5         0           1619            0.5        220.592        2.20592
    5         1             86            0.5          7.774        0.07774
    5         1            149            0.5        19.9111       0.199111
    5         1            219            0.5        30.3988       0.303988
    5         1            303            0.5        41.2688       0.412688
    5         1            394            0.5        52.1847       0.521847
    5         1            492            0.5        63.5227       0.635227
    5         1            590            0.5        74.6495       0.746495
    5         1            688            0.5        85.6481       0.856481
    5         1            786            0.5        96.5517       0.965517
    5         1            884            0.5        107.377        1.07377
    5         1            989            0.5        118.899        1.18899
    5         1           1087            0.5         129.59         1.2959
    5         1           1192            0.5        140.986        1.40986
    5         1           1290            0.5        151.573        1.51573
    5         1           1395            0.5         162.87         1.6287
    5         1           1493            0.5        173.376        1.73376
    5         1           1598            0.5        184.598        1.84598
    5         1           1703            0.5        195.787        1.95787
    5         1           1808            0.5        206.951        2.06951
    5         1           1906            0.5        217.349        2.17349
    5         1           2011            0.5        228.472        2.28472
    5         2             85            0.5        11.4399       0.114399
    5         2            145            0.5        20.5875       0.205875
    5         2            205            0.5        29.3074       0.293074
    5         2            271            0.5        38.4933       0.384933
    5         2            337            0.5        47.3092       0.473092
    5         2            409            0.5        56.5635       0.565635
    5         2            481            0.5        65.4972       0.654972
    5         2            559            0.5        74.8768       0.748768
    5         2            631            0.5        83.3099       0.833099
    5         2            715            0.5        92.9301       0.929301
    5         2            793            0.5        101.696        1.01696
    5         2            877            0.5        110.995        1.10995
    5         2            955            0.5        119.529        1.19529
    5         2           1039            0.5        128.634        1.28634
    5         2           1123            0.5        137.672        1.37672
    5         2           1207            0.5         146.66         1.4666
    5         2           1291            0.5         155.61         1.5561
    5         2           1375            0.5        164.534        1.64534
    5         2           1459            0.5        173.439        1.73439
    5         2           1549            0.5        182.968        1.82968
    5         2           1633            0.5        191.854        1.91854
    5         2           1717            0.5        200.741        2.00741
    5         3             99            0.5         9.6908       0.096908
    5         3            180            0.5        19.8499       0.198499
    5         3            270            0.5        28.7521       0.287521
    5         3            369            0.5        37.5663       0.375663
    5         3            477            0.5        46.6561       0.466561
    5         3            585            0.5        55.4112       0.554112
    5         3            702            0.5        64.6141       0.646141
    5         3            819            0.5        73.5769       0.735769
    5         3            936            0.5        82.3356       0.823356
    5         3           1062            0.5        91.5725       0.915725
    5         3           1188            0.5        100.635        1.00635
    5         3           1314            0.5        109.548        1.09548
    5         3           1449            0.5        118.954        1.18954
    5         3           1575            0.5        127.618        1.27618
    5         3           1710            0.5        136.796        1.36796
    5         3           1845            0.5        145.881        1.45881
    5         3           1980            0.5        154.885        1.54885
    5         3           2115            0.5        163.821        1.63821
    5         3           2250            0.5        172.699        1.72699
    5         3           2385            0.5        181.526        1.81526
    5         3           2529            0.5        190.896        1.90896
    6         0             70            0.5        10.7101       0.107101
    6         0            120            0.5        22.7682       0.227682
    6         0            175            0.5        33.3839       0.333839
    6         0            240            0.5        44.4962       0.444962
    6         0            310            0.5        55.6146       0.556146
    6         0            385            0.5        66.9577       0.669577
    6         0            460            0.5        77.9005       0.779005
    6         0            535            0.5        88.5451       0.885451
    6         0            615            0.5        99.6418       0.996418
    6         0            695            0.5        110.525        1.10525
    6         0            780            0.5        121.898        1.21898
    6         0            860            0.5        132.456        1.32456
    6         0            945            0.5        143.548        1.43548
    6         0           1030            0.5         154.53         1.5453
    6         0           1115            0.5        165.425        1.65425
    6         0           1205            0.5        176.882        1.76882
    6         0           1290            0.5        187.642        1.87642
    6         0           1380            0.5        198.982        1.98982
    6         0           1465            0.5        209.654        2.09654
    6         0           1555            0.5        220.922        2.20922
    6         0           1640            0.5         231.54         2.3154
    6         1             77            0.5        11.2694       0.112694
    6         1            131            0.5        22.4845       0.224845
    6         1            197            0.5         33.712        0.33712
    6         1            269            0.5        44.9192       0.449192
    6         1            341            0.5         55.661        0.55661
    6         1            419            0.5         66.989        0.66989
    6         1            491            0.5        77.2343       0.772343
    6         1            575            0.5        88.9784       0.889784
    6         1            653            0.5        99.7121       0.997121
    6         1            731            0.5        110.305        1.10305
    6         1            815            0.5        121.577        1.21577
    6         1            899            0.5        132.727        1.32727
    6         1            983            0.5        143.775        1.43775
    6         1           1067            0.5        154.735        1.54735
    6         1           1151            0.5        165.621        1.65621
    6         1           1235            0.5        176.443        1.76443
    6         1           1325            0.5        187.979        1.87979
    6         1           1409            0.5        198.701        1.98701
    6         1           1493            0.5        209.386        2.09386
    6         1           1583            0.5        220.799        2.20799
    6         1           1667            0.5        231.426        2.31426
    6         2             86            0.5        11.8909       0.118909
    6         2            126            0.5        20.1492       0.201492
    6         2            176            0.5          29.69         0.2969
    6         2            226            0.5        38.3452       0.383452
    6         2            286            0.5         47.879        0.47879
    6         2            346            0.5        56.7569       0.567569
    6         2            411            0.5        65.8544       0.658544
    6         2            476            0.5        74.5642       0.745642
    6         2            546            0.5        83.6308       0.836308
    6         2            616            0.5        92.4607       0.924607
    6         2            691            0.5        101.732        1.01732
    6         2            766            0.5        110.862        1.10862
    6         2            841            0.5        119.894        1.19894
    6         2            916            0.5         128.86         1.2886
    6         2            991            0.5        137.783        1.37783
    6         2           1066            0.5        146.683        1.46683
    6         2           1141            0.5        155.577        1.55577
    6         2           1216            0.5        164.474        1.64474
    6         2           1296            0.5        173.982        1.73982
    6         2           1371            0.5        182.918        1.82918
    6         3             92            0.5        11.8866       0.118866
    6         3            127            0.5        20.3134       0.203134
    6         3            172            0.5        29.2399       0.292399
    6         3            227            0.5        38.7043       0.387043
    6         3            282            0.5        47.3965       0.473965
    6         3            342            0.5         56.437        0.56437
    6         3            407            0.5        65.9419       0.659419
    6         3            467            0.5        74.5473       0.745473
    6         3            532            0.5         83.739        0.83739
    6         3            597            0.5         92.823        0.92823
    6         3            662            0.5        101.817        1.01817
    6         3            727            0.5        110.733        1.10733
    6         3            792            0.5         119.58         1.1958
    6         3            857            0.5        128.365        1.28365
    6         3            927            0.5        137.764        1.37764
    6         3            992            0.5        146.441        1.46441
    6         3           1062            0.5        155.735        1.55735
    6         3           1132            0.5        164.983        1.64983
    6         3           1197            0.5        173.534        1.73534
    6         3           1267            0.5        182.709        1.82709
    6         3           1337            0.5         191.85         1.9185
    6         3           1407            0.5        200.962        2.00962
    7         0             97            0.5        9.75978      0.0975978
    7         0            142            0.5        19.3405       0.193405
    7         0            192            0.5        28.3117       0.283117
    7         0            247            0.5        37.4684       0.374684
    7         0            307            0.5        46.9489       0.469489
    7         0            362            0.5        55.3075       0.553075
    7         0            427            0.5        64.8747       0.648747
    7         0            487            0.5        73.4678       0.734678
    7         0            552            0.5        82.5688       0.825688
    7         0            617            0.5        91.4912       0.914912
    7         0            687            0.5        100.935        1.00935
    7         0            752            0.5        109.575        1.09575
    7         0            822            0.5        118.764        1.18764
    7         0            892            0.5         127.85         1.2785
    7         0            962            0.5         136.85         1.3685
    7         0           1032            0.5        145.776        1.45776
    7         0           1102            0.5        154.638        1.54638
    7         0           1172            0.5        163.447        1.63447
    7         0           1247            0.5        172.833        1.72833
    7         0           1317            0.5        181.553        1.81553
    7         0           1392            0.5        190.858        1.90858
    7         1             90            0.5        9.11333      0.0911333
    7         1            130            0.5         18.081        0.18081
    7         1            180            0.5        27.3987       0.273987
    7         1            235            0.5        36.3586       0.363586
    7         1            295            0.5        45.2883       0.452883
    7         1            360            0.5        54.3943       0.543943
    7         1            430            0.5        63.8026       0.638026
    7         1            500            0.5        72.9433       0.729433
    7         1            570            0.5        81.8971       0.818971
    7         1            640            0.5        90.7102       0.907102
    7         1            710            0.5        99.4133       0.994133
    7         1            785            0.5        108.639        1.08639
    7         1            860            0.5        117.779        1.17779
    7         1            935            0.5        126.849        1.26849
    7         1           1010            0.5        135.859        1.35859
    7         1           1085            0.5        144.819        1.44819
    7         1           1160            0.5        153.736        1.53736
    7         1           1235            0.5        162.615        1.62615
    7         1           1310            0.5        171.463        1.71463
    7         1           1390            0.5        180.873        1.80873
    7         1           1465            0.5        189.672        1.89672
    7         2            110            0.5        9.56981      0.0956981
    7         2            142            0.5        16.8476       0.168476
    7         2            178            0.5        23.8776       0.238776
    7         2            218            0.5        30.9082       0.309082
    7         2            258            0.5        37.4395       0.374395
    7         2            306            0.5        44.8444       0.448444
    7         2            354            0.5        51.9158       0.519158
    7         2            402            0.5        58.7379       0.587379
    7         2            454            0.5        65.9075       0.659075
    7         2            506            0.5        72.8908       0.728908
    7         2            558            0.5        79.7197       0.797197
    7         2            614            0.5         86.928        0.86928
    7         2            666            0.5         93.506        0.93506
    7         2            726            0.5        100.977        1.00977
    7         2            782            0.5        107.852        1.07852
    7         2            838            0.5        114.644        1.14644
    7         2            898            0.5        121.841        1.21841
    7         2            958            0.5        128.966        1.28966
    7         2           1014            0.5        135.559        1.35559
    7         2           1074            0.5        142.571        1.42571
    7         2           1138            0.5        149.997        1.49997
    7         2           1198            0.5        156.915        1.56915
    7         3             82            0.5        10.3799       0.103799
    7         3            130            0.5        19.7355       0.197355
    7         3            182            0.5        28.4432       0.284432
    7         3            242            0.5        37.9323       0.379323
    7         3            298            0.5        46.4864       0.464864
    7         3            358            0.5        55.4278       0.554278
    7         3            422            0.5        64.7712       0.647712
    7         3            486            0.5        73.9545       0.739545
    7         3            546            0.5        82.4438       0.824438
    7         3            614            0.5         91.946        0.91946
    7         3            678            0.5         100.79         1.0079
    7         3            742            0.5        109.552        1.09552
    7         3            810            0.5        118.781        1.18781
    7         3            878            0.5        127.939        1.27939
    7         3            942            0.5        136.499        1.36499
    7         3           1010            0.5        145.539        1.45539
    7         3           1078            0.5        154.529        1.54529
