 *tel    numcsi   CsIInVoltage     errCsIInVoltage           CsIE       errCsIE
    0         0      0.0307874    0.000307874        8.47126      0.0847126
    0         0       0.149341     0.00149341        24.6238       0.246238
    0         0       0.266972     0.00266972        40.1162       0.401162
    0         0        0.39205      0.0039205        56.9499       0.569499
    0         0       0.503185     0.00503185        72.2315       0.722315
    0         0       0.621089     0.00621089        88.7473       0.887473
    0         0       0.731806     0.00731806        104.536        1.04536
    0         0       0.842627     0.00842627        120.557        1.20557
    0         0        0.95534      0.0095534        136.812        1.36812
    0         0        1.06189      0.0106189        152.262        1.52262
    0         0         1.1769       0.011769        168.968        1.68968
    0         0        1.28741      0.0128741        184.844        1.84844
    0         0        1.40053      0.0140053        200.926        2.00926
    0         0        1.50801      0.0150801        216.118        2.16118
    0         0        1.62529      0.0162529        232.593        2.32593
    0         0        1.73569      0.0173569        248.147        2.48147
    0         0        1.84736      0.0184736        263.875        2.63875
    0         0        1.96733      0.0196733        280.909        2.80909
    0         0         2.0798       0.020798         296.98         2.9698
    0         0        2.18539      0.0218539        312.051        3.12051
    0         0        2.29864      0.0229864        328.439        3.28439
    0         1      0.0216507    0.000216507        6.81698      0.0681698
    0         1       0.149574     0.00149574        24.5556       0.245556
    0         1        0.27532      0.0027532        41.9294       0.419294
    0         1       0.393518     0.00393518        58.1183       0.581183
    0         1       0.520194     0.00520194        75.5531       0.755531
    0         1       0.638521     0.00638521        91.9673       0.919673
    0         1       0.765753     0.00765753        109.743        1.09743
    0         1       0.883638     0.00883638        126.535        1.26535
    0         1        1.00388      0.0100388        143.534        1.43534
    0         1        1.12477      0.0112477        160.749        1.60749
    0         1        1.24063      0.0124063        176.934        1.76934
    0         1        1.36796      0.0136796        194.577        1.94577
    0         1        1.48904      0.0148904        211.159        2.11159
    0         1        1.61268      0.0161268        227.933        2.27933
    0         1        1.73802      0.0173802        244.894        2.44894
    0         1        1.86414      0.0186414        262.046        2.62046
    0         1        1.99031      0.0199031         279.38         2.7938
    0         1        2.11719      0.0211719        296.899        2.96899
    0         1        2.23551      0.0223551        313.221        3.13221
    0         1          2.354        0.02354        329.704        3.29704
    0         1         2.4819       0.024819        347.719        3.47719
    0         2      0.0373445    0.000373445        8.73823      0.0873823
    0         2        0.16495      0.0016495        25.8237       0.258237
    0         2       0.291902     0.00291902        42.5592       0.425592
    0         2       0.418954     0.00418954        59.2636       0.592636
    0         2       0.546484     0.00546484        76.0301       0.760301
    0         2       0.673775     0.00673775        92.9075       0.929075
    0         2       0.801235     0.00801235        109.928        1.09928
    0         2       0.929385     0.00929385         127.11         1.2711
    0         2        1.05912      0.0105912        144.468        1.44468
    0         2        1.18269      0.0118269         160.84         1.6084
    0         2         1.3188       0.013188        178.564        1.78564
    0         2        1.44839      0.0144839        195.282        1.95282
    0         2        1.58077      0.0158077        212.172        2.12172
    0         2        1.71617      0.0171617        229.233        2.29233
    0         2        1.85316      0.0185316        246.463        2.46463
    0         2        1.99009      0.0199009        263.858        2.63858
    0         2        2.11799      0.0211799        280.156        2.80156
    0         2        2.25714      0.0225714        297.869        2.97869
    0         2        2.38548      0.0238548        314.465        3.14465
    0         2        2.51496      0.0251496        331.199        3.31199
    0         2        2.64485      0.0264485        348.063        3.48063
    0         3      0.0246106    0.000246106        8.00193      0.0800193
    0         3       0.140675     0.00140675        23.0345       0.230345
    0         3       0.260221     0.00260221        38.6966       0.386966
    0         3       0.373036     0.00373036        53.4284       0.534284
    0         3       0.485577     0.00485577        68.2849       0.682849
    0         3       0.598005     0.00598005        83.2992       0.832992
    0         3       0.710987     0.00710987        98.4918       0.984918
    0         3       0.823506     0.00823506        113.874        1.13874
    0         3       0.929125     0.00929125        128.408        1.28408
    0         3        1.03563      0.0103563        143.117        1.43117
    0         3         1.1441       0.011441        158.002        1.58002
