 *tel    numcsi   CsIInVoltage     errCsIInVoltage           CsIE       errCsIE
    0         0      0.0209298    0.000209298        17.2237       0.172237
    0         0      0.0685448    0.000685448         28.502        0.28502
    0         0       0.124443     0.00124443        39.8833       0.398833
    0         0       0.183821     0.00183821        50.9063       0.509063
    0         0       0.248828     0.00248828        61.9826       0.619826
    0         0       0.312646     0.00312646        72.5917       0.725917
    0         0       0.382833     0.00382833        83.6367       0.836367
    0         0       0.451454     0.00451454        94.4514       0.944514
    0         0       0.526565     0.00526565        105.797        1.05797
    0         0       0.600001     0.00600001        116.982        1.16982
    0         0       0.669238     0.00669238        127.344        1.27344
    0         0       0.748328     0.00748328        138.961        1.38961
    0         0       0.821981     0.00821981        149.784        1.49784
    0         0       0.896961     0.00896961         160.51         1.6051
    0         0       0.976064     0.00976064        171.809        1.71809
    0         0        1.05235      0.0105235         182.36         1.8236
    0         0        1.13275      0.0113275        193.489        1.93489
    0         0         1.2154       0.012154        204.542        2.04542
    0         0         1.3001       0.013001        215.526        2.15526
    0         0        1.38499      0.0138499        226.447        2.26447
    0         0        1.47675      0.0147675        237.947        2.37947
    0         1      0.0204121    0.000204121        19.8829       0.198829
    0         1       0.102956     0.00102956        35.0235       0.350235
    0         1        0.18824      0.0018824        50.5487       0.505487
    0         1       0.274101     0.00274101        65.3733       0.653733
    0         1       0.368506     0.00368506        80.8227       0.808227
    0         1       0.462623     0.00462623        95.7633       0.957633
    0         1       0.556943     0.00556943        110.289        1.10289
    0         1       0.657807     0.00657807        125.548        1.25548
    0         1       0.759836     0.00759836        140.475        1.40475
    0         1       0.860931     0.00860931        155.124        1.55124
    0         1        0.97112      0.0097112         170.56         1.7056
    0         1        1.08185      0.0108185        185.769        1.85769
    0         1        1.19486      0.0119486        200.786        2.00786
    0         1        1.31113      0.0131113        215.639        2.15639
    0         1        1.42961      0.0142961        230.352        2.30352
    0         1        1.55776      0.0155776        245.916        2.45916
    0         1        1.68049      0.0168049        260.402        2.60402
    0         1        1.81348      0.0181348        275.759        2.75759
    0         1        1.93876      0.0193876        290.079        2.90079
    0         1         2.0731       0.020731        305.286        3.05286
    0         2       0.032262     0.00032262        21.8088       0.218088
    0         2       0.100728     0.00100728        34.1339       0.341339
    0         2       0.178302     0.00178302        47.7251       0.477251
    0         2        0.25739      0.0025739        60.7763       0.607763
    0         2        0.33588      0.0033588         73.425        0.73425
    0         2       0.420182     0.00420182        86.6809       0.866809
    0         2       0.505746     0.00505746        99.6179       0.996179
    0         2       0.590727     0.00590727        112.283        1.12283
    0         2        0.68119      0.0068119        125.591        1.25591
    0         2       0.772222     0.00772222        138.665        1.38665
    0         2       0.863294     0.00863294        151.534        1.51534
    0         2       0.955566     0.00955566        164.222        1.64222
    0         2        1.05407      0.0105407        177.581        1.77581
    0         2        1.15416      0.0115416        190.779        1.90779
    0         2        1.25704      0.0125704        203.835        2.03835
    0         2        1.36157      0.0136157        216.764        2.16764
    0         2        1.46824      0.0146824        229.581        2.29581
    0         2        1.57666      0.0157666        242.297        2.42297
    0         2        1.69432      0.0169432        255.709        2.55709
    0         2        1.80517      0.0180517        268.249        2.68249
    0         2        1.92384      0.0192384        281.492        2.81492
    0         2        2.04383      0.0204383        294.663        2.94663
    0         3      0.0233842    0.000233842        22.3674       0.223674
    0         3      0.0880336    0.000880336        34.1832       0.341832
    0         3       0.158203     0.00158203        45.9936       0.459936
    0         3       0.232808     0.00232808        58.3635       0.583635
    0         3       0.306959     0.00306959        70.3547       0.703547
    0         3       0.383133     0.00383133        82.0422       0.820422
    0         3       0.463916     0.00463916        94.4175       0.944175
    0         3       0.544997     0.00544997        106.539        1.06539
    0         3       0.626488     0.00626488        118.443        1.18443
    0         3       0.708436     0.00708436        130.156        1.30156
    0         3       0.795547     0.00795547        142.585        1.42585
    0         3        0.88325      0.0088325        154.846        1.54846
    0         3       0.972897     0.00972897        166.957        1.66957
    0         3        1.06176      0.0106176        178.938        1.78938
    0         3        1.15207      0.0115207        190.802        1.90802
    0         3        1.24416      0.0124416        202.562        2.02562
    0         3        1.33954      0.0133954         214.23         2.1423
