 *tel    numcsi   CsIInChannel     errCsIInChannel           CsIE       errCsIE
    0         0             94            0.5        20.9371       0.209371
    0         0            130            0.5        31.8525       0.318525
    0         0            170            0.5        42.1765       0.421765
    0         0            218            0.5        53.2327       0.532327
    0         0            270            0.5        64.3061       0.643061
    0         0            326            0.5        75.6301       0.756301
    0         0            382            0.5        86.5658       0.865658
    0         0            442            0.5        97.9871       0.979871
    0         0            498            0.5        108.437        1.08437
    0         0            558            0.5        119.451        1.19451
    0         0            618            0.5        130.301        1.30301
    0         0            682            0.5        141.714        1.41714
    0         0            746            0.5        152.977        1.52977
    0         0            806            0.5        163.413        1.63413
    0         0            870            0.5        174.422        1.74422
    0         0            938            0.5        185.992        1.85992
    0         0           1002            0.5        196.769        1.96769
    0         0           1066            0.5        207.447        2.07447
    0         0           1134            0.5        218.692        2.18692
    0         0           1202            0.5        229.839        2.29839
    0         0           1270            0.5        240.897        2.40897
    0         0           1338            0.5        251.872        2.51872
    0         1             76            0.5        19.4352       0.194352
    0         1            136            0.5        34.3782       0.343782
    0         1            202            0.5        49.7853       0.497853
    0         1            268            0.5         64.451        0.64451
    0         1            340            0.5        79.7844       0.797844
    0         1            412            0.5         94.551        0.94551
    0         1            484            0.5        108.846        1.08846
    0         1            562            0.5        123.884        1.23884
    0         1            646            0.5        139.637        1.39637
    0         1            724            0.5        153.917        1.53917
    0         1            808            0.5        168.974        1.68974
    0         1            898            0.5        184.787        1.84787
    0         1            982            0.5         199.29         1.9929
    0         1           1072            0.5        214.591        2.14591
    0         1           1162            0.5        229.676        2.29676
    0         1           1252            0.5        244.574        2.44574
    0         1           1342            0.5        259.309        2.59309
    0         1           1438            0.5        274.869        2.74869
    0         1           1528            0.5        289.326        2.89326
    0         1           1624            0.5        304.625        3.04625
    0         1           1720            0.5        319.815        3.19815
    0         2             92            0.5        20.2524       0.202524
    0         2            147            0.5        33.8416       0.338416
    0         2            212            0.5        48.5632       0.485632
    0         2            277            0.5         62.611        0.62611
    0         2            342            0.5        76.1588       0.761588
    0         2            412            0.5        90.2924       0.902924
    0         2            487            0.5        104.993        1.04993
    0         2            557            0.5        118.359        1.18359
    0         2            632            0.5        132.351        1.32351
    0         2            712            0.5        146.947        1.46947
    0         2            787            0.5         160.36         1.6036
    0         2            867            0.5        174.412        1.74412
    0         2            947            0.5        188.231        1.88231
    0         2           1032            0.5        202.685        2.02685
    0         2           1117            0.5        216.929        2.16929
    0         2           1202            0.5        230.986        2.30986
    0         2           1287            0.5        244.875        2.44875
    0         2           1372            0.5        258.613        2.58613
    0         2           1457            0.5        272.213        2.72213
    0         2           1547            0.5        286.481        2.86481
    0         2           1637            0.5        300.623        3.00623
    0         3             44            0.5        21.6471       0.216471
    0         3             94            0.5        34.5765       0.345765
    0         3            149            0.5        47.3351       0.473351
    0         3            209            0.5        60.6223       0.606223
    0         3            269            0.5        73.4418       0.734418
    0         3            334            0.5         86.905        0.86905
    0         3            399            0.5        99.9973       0.999973
    0         3            464            0.5        112.772        1.12772
    0         3            529            0.5         125.27         1.2527
    0         3            599            0.5        138.459        1.38459
    0         3            669            0.5        151.399        1.51399
    0         3            739            0.5        164.121        1.64121
    0         3            814            0.5        177.536        1.77536
    0         3            889            0.5        190.751        1.90751
    0         3            964            0.5         203.79         2.0379
    0         3           1039            0.5         216.67         2.1667
    0         3           1114            0.5        229.406        2.29406
    0         3           1194            0.5        242.851        2.42851
    0         3           1269            0.5        255.336        2.55336
    0         3           1349            0.5        268.538        2.68538
    0         3           1429            0.5        281.633        2.81633
    1         0            105            0.5        16.9526       0.169526
    1         0            153            0.5        31.7059       0.317059
    1         0            213            0.5        46.6962       0.466962
    1         0            279            0.5        61.0938       0.610938
    1         0            357            0.5        76.7389       0.767389
    1         0            435            0.5        91.5921       0.915921
    1         0            513            0.5        105.958        1.05958
    1         0            597            0.5        121.041        1.21041
    1         0            687            0.5        136.846        1.36846
    1         0            771            0.5        151.317        1.51317
    1         0            861            0.5        166.558        1.66558
    1         0            951            0.5        181.557        1.81557
    1         0           1041            0.5        196.336        1.96336
    1         0           1137            0.5        211.883        2.11883
    1         0           1227            0.5        226.272        2.26272
    1         0           1323            0.5        241.442        2.41442
    1         0           1419            0.5        256.444        2.56444
