 *tel    numcsi   CsIInChannel     errCsIInChannel           CsIE       errCsIE
    0         0             98            0.5        9.75159      0.0975159
    0         0            188            0.5        24.9643       0.249643
    0         0            284            0.5        39.9239       0.399239
    0         0            374            0.5        54.0652       0.540652
    0         0            470            0.5        69.2748       0.692748
    0         0            566            0.5        84.5663       0.845663
    0         0            662            0.5        99.9228       0.999228
    0         0            752            0.5        114.379        1.14379
    0         0            848            0.5        129.869        1.29869
    0         0            938            0.5        144.466        1.44466
    0         0           1028            0.5        159.146        1.59146
    0         0           1124            0.5        174.905        1.74905
    0         0           1214            0.5        189.783        1.89783
    0         0           1304            0.5        204.764        2.04764
    0         0           1394            0.5        219.857        2.19857
    0         0           1478            0.5        234.046        2.34046
    0         0           1568            0.5        249.364        2.49364
    0         0           1658            0.5        264.803        2.64803
    0         0           1742            0.5        279.321        2.79321
    0         0           1832            0.5        294.999        2.94999
    0         0           1916            0.5        309.739        3.09739
    0         1             76            0.5        5.97743      0.0597743
    0         1            160            0.5        21.3144       0.213144
    0         1            244            0.5        36.0017       0.360017
    0         1            334            0.5        51.3844       0.513844
    0         1            424            0.5        66.5555       0.665555
    0         1            514            0.5        81.6072       0.816072
    0         1            604            0.5           96.6          0.966
    0         1            694            0.5        111.576        1.11576
    0         1            784            0.5        126.565        1.26565
    0         1            874            0.5        141.593        1.41593
    0         1            964            0.5        156.676        1.56676
    0         1           1054            0.5        171.831        1.71831
    0         1           1138            0.5        186.047        1.86047
    0         1           1228            0.5        201.368        2.01368
    0         1           1318            0.5        216.788        2.16788
    0         1           1402            0.5         231.27         2.3127
    0         1           1492            0.5        246.892        2.46892
    0         1           1576            0.5        261.572        2.61572
    0         1           1660            0.5        276.352        2.76352
    0         1           1744            0.5         291.23         2.9123
    0         1           1828            0.5        306.208        3.06208
    0         2             99            0.5        7.92195      0.0792195
    0         2            177            0.5        21.7134       0.217134
    0         2            261            0.5        35.9357       0.359357
    0         2            345            0.5        49.8648       0.498648
    0         2            429            0.5        63.6122       0.636122
    0         2            513            0.5        77.2416       0.772416
