 *tel    numcsi   CsIInVoltage     errCsIInVoltage           CsIE       errCsIE
    0         0      0.0258517    0.000258517        20.9371       0.209371
    0         0      0.0685448    0.000685448        31.8525       0.318525
    0         0       0.115411     0.00115411        42.1765       0.421765
    0         0       0.169954     0.00169954        53.2327       0.532327
    0         0         0.2304       0.002304        64.3061       0.643061
    0         0       0.294168     0.00294168        75.6301       0.756301
    0         0       0.359547     0.00359547        86.5658       0.865658
    0         0        0.42846      0.0042846        97.9871       0.979871
    0         0       0.493768     0.00493768        108.437        1.08437
    0         0       0.563234     0.00563234        119.451        1.19451
    0         0       0.632754     0.00632754        130.301        1.30301
    0         0       0.705947     0.00705947        141.714        1.41714
    0         0       0.781053     0.00781053        152.977        1.52977
    0         0       0.849616     0.00849616        163.413        1.63413
    0         0       0.925306     0.00925306        174.422        1.74422
    0         0        1.00435      0.0100435        185.992        1.85992
    0         0        1.08082      0.0108082        196.769        1.96769
    0         0        1.15726      0.0115726        207.447        2.07447
    0         0        1.23973      0.0123973        218.692        2.18692
    0         0        1.32525      0.0132525        229.839        2.29839
    0         0        1.41091      0.0141091        240.897        2.40897
    0         0        1.49755      0.0149755        251.872        2.51872
    0         1      0.0204121    0.000204121        19.4352       0.194352
    0         1        0.09478      0.0009478        34.3782       0.343782
    0         1       0.173487     0.00173487        49.7853       0.497853
    0         1       0.252358     0.00252358         64.451        0.64451
    0         1       0.339963     0.00339963        79.7844       0.797844
    0         1       0.426448     0.00426448         94.551        0.94551
    0         1       0.512887     0.00512887        108.846        1.08846
    0         1       0.607645     0.00607645        123.884        1.23884
    0         1       0.709269     0.00709269        139.637        1.39637
    0         1       0.802971     0.00802971        153.917        1.53917
    0         1        0.90433      0.0090433        168.974        1.68974
    0         1        1.01476      0.0101476        184.787        1.84787
    0         1        1.11859      0.0111859         199.29         1.9929
    0         1        1.23298      0.0123298        214.591        2.14591
    0         1         1.3499       0.013499        229.676        2.29676
    0         1        1.46881      0.0146881        244.574        2.44574
    0         1         1.5905       0.015905        259.309        2.59309
    0         1         1.7225       0.017225        274.869        2.74869
    0         1        1.84731      0.0184731        289.326        2.89326
    0         1        1.98075      0.0198075        304.625        3.04625
    0         1        2.11435      0.0211435        319.815        3.19815
