 *tel    numcsi   CsIInChannel     errCsIInChannel           CsIE       errCsIE
    0         0             98            0.5        8.47126      0.0847126
    0         0            200            0.5        24.6238       0.246238
    0         0            302            0.5        40.1162       0.401162
    0         0            410            0.5        56.9499       0.569499
    0         0            506            0.5        72.2315       0.722315
    0         0            608            0.5        88.7473       0.887473
    0         0            704            0.5        104.536        1.04536
    0         0            800            0.5        120.557        1.20557
    0         0            896            0.5        136.812        1.36812
    0         0            986            0.5        152.262        1.52262
    0         0           1082            0.5        168.968        1.68968
    0         0           1172            0.5        184.844        1.84844
    0         0           1262            0.5        200.926        2.00926
    0         0           1346            0.5        216.118        2.16118
    0         0           1436            0.5        232.593        2.32593
    0         0           1520            0.5        248.147        2.48147
    0         0           1604            0.5        263.875        2.63875
    0         0           1694            0.5        280.909        2.80909
    0         0           1778            0.5         296.98         2.9698
    0         0           1856            0.5        312.051        3.12051
    0         0           1940            0.5        328.439        3.28439
    0         1             77            0.5        6.81698      0.0681698
    0         1            182            0.5        24.5556       0.245556
    0         1            287            0.5        41.9294       0.419294
    0         1            385            0.5        58.1183       0.581183
    0         1            490            0.5        75.5531       0.755531
    0         1            588            0.5        91.9673       0.919673
    0         1            693            0.5        109.743        1.09743
    0         1            791            0.5        126.535        1.26535
    0         1            889            0.5        143.534        1.43534
    0         1            987            0.5        160.749        1.60749
    0         1           1078            0.5        176.934        1.76934
    0         1           1176            0.5        194.577        1.94577
    0         1           1267            0.5        211.159        2.11159
    0         1           1358            0.5        227.933        2.27933
    0         1           1449            0.5        244.894        2.44894
    0         1           1540            0.5        262.046        2.62046
    0         1           1631            0.5         279.38         2.7938
    0         1           1722            0.5        296.899        2.96899
    0         1           1806            0.5        313.221        3.13221
    0         1           1890            0.5        329.704        3.29704
    0         1           1981            0.5        347.719        3.47719
    0         2            101            0.5        8.73823      0.0873823
    0         2            206            0.5        25.8237       0.258237
    0         2            311            0.5        42.5592       0.425592
    0         2            416            0.5        59.2636       0.592636
    0         2            521            0.5        76.0301       0.760301
    0         2            626            0.5        92.9075       0.929075
    0         2            731            0.5        109.928        1.09928
    0         2            836            0.5         127.11         1.2711
    0         2            941            0.5        144.468        1.44468
    0         2           1039            0.5         160.84         1.6084
    0         2           1144            0.5        178.564        1.78564
    0         2           1242            0.5        195.282        1.95282
    0         2           1340            0.5        212.172        2.12172
    0         2           1438            0.5        229.233        2.29233
    0         2           1536            0.5        246.463        2.46463
    0         2           1634            0.5        263.858        2.63858
    0         2           1725            0.5        280.156        2.80156
    0         2           1823            0.5        297.869        2.97869
    0         2           1914            0.5        314.465        3.14465
    0         2           2005            0.5        331.199        3.31199
    0         2           2096            0.5        348.063        3.48063
    0         3             45            0.5        8.00193      0.0800193
    0         3            135            0.5        23.0345       0.230345
    0         3            231            0.5        38.6966       0.386966
    0         3            321            0.5        53.4284       0.534284
    0         3            411            0.5        68.2849       0.682849
    0         3            501            0.5        83.2992       0.832992
    0         3            591            0.5        98.4918       0.984918
    0         3            681            0.5        113.874        1.13874
    0         3            765            0.5        128.408        1.28408
    0         3            849            0.5        143.117        1.43117
    0         3            933            0.5        158.002        1.58002
    0         3           1017            0.5        173.068        1.73068
    0         3           1101            0.5         188.31         1.8831
    0         3           1185            0.5        203.725        2.03725
    0         3           1263            0.5        218.196        2.18196
    0         3           1347            0.5        233.945        2.33945
    0         3           1425            0.5        248.724        2.48724
    0         3           1503            0.5        263.643        2.63643
    0         3           1581            0.5        278.708        2.78708
    0         3           1659            0.5        293.908        2.93908
    0         3           1731            0.5        308.057        3.08057
    0         3           1809            0.5        323.527        3.23527
    1         0            106            0.5        6.92368      0.0692368
    1         0            211            0.5        23.7305       0.237305
    1         0            316            0.5        39.2371       0.392371
    1         0            421            0.5        55.0493       0.550493
    1         0            526            0.5        71.1573       0.711573
    1         0            631            0.5        87.5169       0.875169
    1         0            729            0.5        102.996        1.02996
    1         0            834            0.5        119.803        1.19803
    1         0            932            0.5        135.699        1.35699
    1         0           1030            0.5        151.799        1.51799
    1         0           1121            0.5         166.93         1.6693
    1         0           1219            0.5        183.423        1.83423
    1         0           1310            0.5        198.923        1.98923
    1         0           1408            0.5         215.81         2.1581
    1         0           1499            0.5        231.674        2.31674
    1         0           1590            0.5        247.706        2.47706
    1         0           1681            0.5        263.909        2.63909
    1         0           1765            0.5        279.017        2.79017
    1         0           1856            0.5        295.536        2.95536
    1         0           1940            0.5        310.931        3.10931
    1         0           2031            0.5        327.757        3.27757
    1         1             99            0.5        7.98339      0.0798339
    1         1            197            0.5        23.4416       0.234416
    1         1            302            0.5        39.8075       0.398075
    1         1            400            0.5        55.0734       0.550734
    1         1            505            0.5        71.4915       0.714915
    1         1            603            0.5        86.9098       0.869098
    1         1            708            0.5        103.556        1.03556
    1         1            806            0.5        119.227        1.19227
    1         1            904            0.5         135.04         1.3504
    1         1           1002            0.5            151           1.51
    1         1           1100            0.5        167.114        1.67114
    1         1           1198            0.5        183.384        1.83384
    1         1           1296            0.5        199.811        1.99811
    1         1           1387            0.5        215.204        2.15204
    1         1           1485            0.5        231.931        2.31931
    1         1           1576            0.5        247.601        2.47601
    1         1           1667            0.5        263.403        2.63403
    1         1           1758            0.5        279.335        2.79335
    1         1           1849            0.5        295.397        2.95397
    1         1           1940            0.5        311.576        3.11576
    1         1           2031            0.5        327.883        3.27883
    1         2             84            0.5        8.44853      0.0844853
    1         2            180            0.5        23.9083       0.239083
    1         2            270            0.5        38.2569       0.382569
    1         2            366            0.5        53.5796       0.535796
    1         2            462            0.5         68.988        0.68988
    1         2            552            0.5        83.5454       0.835454
    1         2            642            0.5        98.2301       0.982301
    1         2            732            0.5        113.056        1.13056
    1         2            822            0.5        128.034        1.28034
    1         2            912            0.5        143.172        1.43172
    1         2           1002            0.5        158.467        1.58467
    1         2           1092            0.5        173.931        1.73931
    1         2           1176            0.5        188.512        1.88512
    1         2           1260            0.5        203.238        2.03238
    1         2           1344            0.5        218.109        2.18109
    1         2           1428            0.5        233.119        2.33119
    1         2           1512            0.5        248.271        2.48271
    1         2           1596            0.5        263.566        2.63566
    1         2           1680            0.5        278.994        2.78994
    1         2           1758            0.5        293.444        2.93444
    1         2           1836            0.5        308.013        3.08013
    1         3            110            0.5        8.76454      0.0876454
    1         3            200            0.5        24.2203       0.242203
    1         3            296            0.5        40.0283       0.400283
    1         3            398            0.5        56.7584       0.567584
    1         3            494            0.5        72.5933       0.725933
    1         3            590            0.5        88.5779       0.885779
    1         3            686            0.5        104.747        1.04747
    1         3            776            0.5        120.089        1.20089
    1         3            872            0.5        136.666        1.36666
    1         3            962            0.5        152.411        1.52411
    1         3           1052            0.5        168.357        1.68357
    1         3           1142            0.5        184.508        1.84508
    1         3           1232            0.5        200.864        2.00864
    1         3           1316            0.5         216.31         2.1631
    1         3           1400            0.5        231.932        2.31932
    1         3           1490            0.5        248.865        2.48865
    1         3           1574            0.5        264.844        2.64844
    1         3           1658            0.5        280.991        2.80991
    1         3           1736            0.5        296.136        2.96136
    1         3           1820            0.5        312.602        3.12602
    2         0             80            0.5         7.9807       0.079807
    2         0            164            0.5        21.1476       0.211476
    2         0            260            0.5        35.9135       0.359135
    2         0            344            0.5        49.0709       0.490709
    2         0            434            0.5        63.3031       0.633031
    2         0            524            0.5        77.6359       0.776359
    2         0            608            0.5        91.1046       0.911046
    2         0            698            0.5        105.644        1.05644
    2         0            782            0.5        119.329        1.19329
    2         0            866            0.5        133.135        1.33135
    2         0            950            0.5        147.073        1.47073
    2         0           1034            0.5         161.15         1.6115
    2         0           1118            0.5        175.367        1.75367
    2         0           1202            0.5        189.734        1.89734
    2         0           1280            0.5        203.205        2.03205
    2         0           1364            0.5         217.86         2.1786
    2         0           1442            0.5          231.6          2.316
    2         0           1520            0.5        245.472        2.45472
    2         0           1598            0.5        259.471        2.59471
    2         0           1676            0.5        273.604        2.73604
    2         0           1754            0.5        287.858        2.87858
    2         0           1826            0.5        301.127        3.01127
    2         1            102            0.5        6.03824      0.0603824
    2         1            182            0.5        21.1395       0.211395
    2         1            272            0.5         36.558        0.36558
    2         1            357            0.5        51.2383       0.512383
    2         1            442            0.5        66.1781       0.661781
    2         1            527            0.5        81.3894       0.813894
    2         1            612            0.5        96.8753       0.968753
    2         1            692            0.5        111.706        1.11706
    2         1            772            0.5        126.787        1.26787
    2         1            847            0.5        141.157        1.41157
    2         1            927            0.5         156.73         1.5673
    2         1           1002            0.5        171.565        1.71565
    2         1           1077            0.5        186.623        1.86623
    2         1           1152            0.5        201.905        2.01905
    2         1           1222            0.5        216.366        2.16366
    2         1           1292            0.5        231.021        2.31021
    2         1           1367            0.5         246.93         2.4693
    2         1           1437            0.5        261.977        2.61977
    2         1           1502            0.5        276.109        2.76109
    2         1           1572            0.5        291.502        2.91502
    2         1           1637            0.5        305.964        3.05964
    2         2             78            0.5        7.39311      0.0739311
    2         2            168            0.5        21.9807       0.219807
    2         2            252            0.5         35.206        0.35206
    2         2            342            0.5        49.2315       0.492315
    2         2            432            0.5        63.2427       0.632427
    2         2            522            0.5        77.3209       0.773209
    2         2            612            0.5        91.5148       0.915148
    2         2            702            0.5        105.858        1.05858
    2         2            786            0.5        119.399        1.19399
    2         2            870            0.5        133.101        1.33101
    2         2            960            0.5        147.971        1.47971
    2         2           1038            0.5         161.02         1.6102
    2         2           1122            0.5        175.247        1.75247
    2         2           1206            0.5        189.651        1.89651
    2         2           1284            0.5        203.194        2.03194
    2         2           1368            0.5        217.948        2.17948
    2         2           1446            0.5        231.811        2.31811
    2         2           1524            0.5        245.827        2.45827
    2         2           1602            0.5        259.995        2.59995
    2         2           1674            0.5        273.204        2.73204
    2         2           1752            0.5        287.661        2.87661
    2         3            104            0.5        7.37357      0.0737357
    2         3            189            0.5        21.8589       0.218589
    2         3            274            0.5        35.4558       0.354558
    2         3            359            0.5        49.2753       0.492753
    2         3            444            0.5        63.2766       0.632766
    2         3            529            0.5        77.4231       0.774231
    2         3            614            0.5        91.7092       0.917092
    2         3            694            0.5        105.286        1.05286
    2         3            779            0.5        119.861        1.19861
    2         3            859            0.5        133.727        1.33727
    2         3            939            0.5        147.742        1.47742
    2         3           1019            0.5        161.911        1.61911
    2         3           1094            0.5         175.34         1.7534
    2         3           1174            0.5        189.818        1.89818
    2         3           1249            0.5        203.539        2.03539
    2         3           1324            0.5        217.401        2.17401
    2         3           1399            0.5        231.407        2.31407
    2         3           1474            0.5        245.553        2.45553
    2         3           1549            0.5        259.838        2.59838
    2         3           1619            0.5        273.297        2.73297
    2         3           1694            0.5        287.847        2.87847
    3         0             81            0.5        7.19654      0.0719654
    3         0            156            0.5        19.4833       0.194833
    3         0            236            0.5        31.5395       0.315395
    3         0            316            0.5        43.6232       0.436232
    3         0            396            0.5        55.8136       0.558136
    3         0            471            0.5        67.3356       0.673356
    3         0            551            0.5        79.7237       0.797237
    3         0            626            0.5         91.435        0.91435
    3         0            701            0.5        103.245        1.03245
    3         0            781            0.5         115.96         1.1596
    3         0            856            0.5        127.995        1.27995
    3         0            926            0.5        139.332        1.39332
    3         0           1001            0.5        151.595        1.51595
    3         0           1076            0.5        163.982        1.63982
