 *tel    numcsi   CsIInChannel     errCsIInChannel           CsIE       errCsIE
    0         0             90            0.5        17.2237       0.172237
    0         0            130            0.5         28.502        0.28502
    0         0            178            0.5        39.8833       0.398833
    0         0            230            0.5        50.9063       0.509063
    0         0            286            0.5        61.9826       0.619826
    0         0            342            0.5        72.5917       0.725917
    0         0            402            0.5        83.6367       0.836367
    0         0            462            0.5        94.4514       0.944514
    0         0            526            0.5        105.797        1.05797
    0         0            590            0.5        116.982        1.16982
    0         0            650            0.5        127.344        1.27344
    0         0            718            0.5        138.961        1.38961
    0         0            782            0.5        149.784        1.49784
    0         0            846            0.5         160.51         1.6051
    0         0            914            0.5        171.809        1.71809
    0         0            978            0.5         182.36         1.8236
    0         0           1046            0.5        193.489        1.93489
    0         0           1114            0.5        204.542        2.04542
    0         0           1182            0.5        215.526        2.15526
    0         0           1250            0.5        226.447        2.26447
    0         0           1322            0.5        237.947        2.37947
    0         1             76            0.5        19.8829       0.198829
    0         1            142            0.5        35.0235       0.350235
    0         1            214            0.5        50.5487       0.505487
    0         1            286            0.5        65.3733       0.653733
    0         1            364            0.5        80.8227       0.808227
    0         1            442            0.5        95.7633       0.957633
    0         1            520            0.5        110.289        1.10289
    0         1            604            0.5        125.548        1.25548
    0         1            688            0.5        140.475        1.40475
    0         1            772            0.5        155.124        1.55124
    0         1            862            0.5         170.56         1.7056
    0         1            952            0.5        185.769        1.85769
    0         1           1042            0.5        200.786        2.00786
    0         1           1132            0.5        215.639        2.15639
    0         1           1222            0.5        230.352        2.30352
    0         1           1318            0.5        245.916        2.45916
    0         1           1408            0.5        260.402        2.60402
    0         1           1504            0.5        275.759        2.75759
    0         1           1594            0.5        290.079        2.90079
    0         1           1690            0.5        305.286        3.05286
    0         2             97            0.5        21.8088       0.218088
    0         2            152            0.5        34.1339       0.341339
    0         2            217            0.5        47.7251       0.477251
    0         2            282            0.5        60.7763       0.607763
    0         2            347            0.5         73.425        0.73425
    0         2            417            0.5        86.6809       0.866809
    0         2            487            0.5        99.6179       0.996179
    0         2            557            0.5        112.283        1.12283
    0         2            632            0.5        125.591        1.25591
    0         2            707            0.5        138.665        1.38665
    0         2            782            0.5        151.534        1.51534
    0         2            857            0.5        164.222        1.64222
    0         2            937            0.5        177.581        1.77581
    0         2           1017            0.5        190.779        1.90779
    0         2           1097            0.5        203.835        2.03835
    0         2           1177            0.5        216.764        2.16764
    0         2           1257            0.5        229.581        2.29581
    0         2           1337            0.5        242.297        2.42297
    0         2           1422            0.5        255.709        2.55709
    0         2           1502            0.5        268.249        2.68249
    0         2           1587            0.5        281.492        2.81492
    0         2           1672            0.5        294.663        2.94663
    0         3             44            0.5        22.3674       0.223674
    0         3             94            0.5        34.1832       0.341832
    0         3            149            0.5        45.9936       0.459936
    0         3            209            0.5        58.3635       0.583635
    0         3            269            0.5        70.3547       0.703547
    0         3            329            0.5        82.0422       0.820422
    0         3            394            0.5        94.4175       0.944175
    0         3            459            0.5        106.539        1.06539
    0         3            524            0.5        118.443        1.18443
    0         3            589            0.5        130.156        1.30156
    0         3            659            0.5        142.585        1.42585
    0         3            729            0.5        154.846        1.54846
    0         3            799            0.5        166.957        1.66957
    0         3            869            0.5        178.938        1.78938
    0         3            939            0.5        190.802        1.90802
    0         3           1009            0.5        202.562        2.02562
    0         3           1079            0.5         214.23         2.1423
    0         3           1154            0.5        226.641        2.26641
    0         3           1229            0.5        238.966        2.38966
    0         3           1299            0.5        250.402        2.50402
    0         3           1374            0.5         262.59         2.6259
    1         0            105            0.5        15.2364       0.152364
    1         0            159            0.5        30.2716       0.302716
    1         0            225            0.5        45.2647       0.452647
    1         0            303            0.5        60.8759       0.608759
    1         0            381            0.5        75.4153       0.754153
    1         0            465            0.5        90.4416       0.904416
    1         0            549            0.5        105.058        1.05058
    1         0            639            0.5        120.394        1.20394
    1         0            729            0.5        135.462        1.35462
    1         0            819            0.5        150.306        1.50306
    1         0            915            0.5        165.926        1.65926
    1         0           1005            0.5        180.391        1.80391
    1         0           1101            0.5        195.652        1.95652
    1         0           1197            0.5        210.759        2.10759
    1         0           1293            0.5        225.729        2.25729
    1         0           1389            0.5        240.575        2.40575
    1         0           1485            0.5        255.312        2.55312
    1         0           1587            0.5        270.864        2.70864
    1         0           1683            0.5        285.409        2.85409
    1         0           1785            0.5        300.781        3.00781
    1         0           1881            0.5        315.177        3.15177
    1         1             91            0.5        21.1167       0.211167
    1         1            169            0.5        36.8824       0.368824
    1         1            241            0.5        50.8593       0.508593
    1         1            325            0.5        66.6536       0.666536
    1         1            403            0.5        80.9218       0.809218
    1         1            493            0.5        96.9916       0.969916
    1         1            577            0.5        111.669        1.11669
    1         1            661            0.5        126.081        1.26081
    1         1            751            0.5        141.268        1.41268
    1         1            841            0.5        156.226        1.56226
    1         1            937            0.5        171.963        1.71963
    1         1           1027            0.5        186.537        1.86537
    1         1           1123            0.5        201.913        2.01913
    1         1           1213            0.5        216.189        2.16189
    1         1           1309            0.5        231.286        2.31286
    1         1           1405            0.5        246.262        2.46262
    1         1           1501            0.5        261.132        2.61132
    1         1           1603            0.5        276.826        2.76826
    1         1           1699            0.5        291.511        2.91511
    1         1           1795            0.5        306.121        3.06121
    1         1           1897            0.5        321.571        3.21571
    1         2             77            0.5        21.9522       0.219522
    1         2            142            0.5        35.8243       0.358243
    1         2            202            0.5         48.122        0.48122
    1         2            267            0.5         61.029        0.61029
    1         2            337            0.5        74.5357       0.745357
    1         2            407            0.5        87.7026       0.877026
    1         2            477            0.5        100.582        1.00582
    1         2            547            0.5        113.214        1.13214
    1         2            622            0.5        126.512        1.26512
    1         2            697            0.5        139.597        1.39597
    1         2            772            0.5        152.495        1.52495
    1         2            847            0.5        165.231        1.65231
    1         2            927            0.5        178.657        1.78657
    1         2           1007            0.5         191.94         1.9194
    1         2           1082            0.5        204.276        2.04276
    1         2           1162            0.5        217.326        2.17326
    1         2           1242            0.5        230.275        2.30275
    1         2           1327            0.5        243.936        2.43936
    1         2           1407            0.5        256.712        2.56712
    1         2           1487            0.5        269.418        2.69418
    1         2           1572            0.5         282.85         2.8285
    1         3            103            0.5        18.6338       0.186338
    1         3            158            0.5        32.7809       0.327809
    1         3            213            0.5        45.1349       0.451349
    1         3            278            0.5        58.8465       0.588465
    1         3            343            0.5        71.9455       0.719455
    1         3            408            0.5        84.5954       0.845954
    1         3            478            0.5        97.8244       0.978244
    1         3            548            0.5        110.722        1.10722
    1         3            618            0.5        123.346        1.23346
    1         3            693            0.5        136.617        1.36617
    1         3            768            0.5        149.665        1.49665
    1         3            843            0.5        162.524        1.62524
    1         3            918            0.5         175.22         1.7522
    1         3            998            0.5        188.611        1.88611
    1         3           1078            0.5        201.864        2.01864
    1         3           1153            0.5        214.184        2.14184
    1         3           1233            0.5        227.226        2.27226
    1         3           1318            0.5        240.988        2.40988
    1         3           1398            0.5        253.862        2.53862
    1         3           1478            0.5        266.672        2.66672
    1         3           1558            0.5        279.427        2.79427
    2         0             73            0.5        13.7028       0.137028
    2         0            118            0.5        26.9448       0.269448
    2         0            168            0.5        38.9148       0.389148
    2         0            233            0.5        52.7325       0.527325
    2         0            298            0.5        65.6881       0.656881
    2         0            363            0.5        78.1981       0.781981
    2         0            433            0.5        91.3406       0.913406
    2         0            503            0.5        104.214        1.04214
    2         0            578            0.5        117.748        1.17748
    2         0            648            0.5        130.165        1.30165
    2         0            723            0.5        143.259        1.43259
    2         0            798            0.5        156.154        1.56154
    2         0            878            0.5        169.709        1.69709
    2         0            953            0.5        182.247        1.82247
    2         0           1033            0.5        195.456        1.95456
    2         0           1113            0.5        208.512        2.08512
    2         0           1193            0.5        221.428        2.21428
    2         0           1273            0.5        234.217        2.34217
    2         0           1358            0.5        247.682        2.47682
    2         0           1438            0.5        260.248        2.60248
    2         0           1523            0.5        273.498        2.73498
    2         1            102            0.5        12.4629       0.124629
    2         1            142            0.5        25.2206       0.252206
    2         1            192            0.5        38.7393       0.387393
    2         1            242            0.5        50.8758       0.508758
    2         1            302            0.5        64.4168       0.644168
    2         1            362            0.5        77.2703       0.772703
    2         1            427            0.5        90.6826       0.906826
    2         1            492            0.5        103.712        1.03712
    2         1            557            0.5        116.449        1.16449
    2         1            627            0.5        129.905        1.29905
    2         1            692            0.5        142.202        1.42202
    2         1            762            0.5        155.263        1.55263
    2         1            832            0.5        168.166        1.68166
    2         1            907            0.5         181.84         1.8184
    2         1            977            0.5        194.482        1.94482
    2         1           1052            0.5        207.916        2.07916
    2         1           1122            0.5        220.365        2.20365
    2         1           1197            0.5         233.62         2.3362
    2         1           1272            0.5        246.801        2.46801
    2         1           1347            0.5         259.92         2.5992
    2         1           1422            0.5        272.984        2.72984
    2         2             74            0.5        20.2789       0.202789
    2         2            114            0.5        29.2837       0.292837
