 *tel    numcsi   CsIInVoltage     errCsIInVoltage           CsIE       errCsIE
    5         0      0.0291354    0.000291354        4.67837      0.0467837
    5         0       0.113838     0.00113838        16.1796       0.161796
    5         0        0.21031      0.0021031        28.3287       0.283287
    5         0       0.307368     0.00307368        40.3966       0.403966
    5         0       0.403562     0.00403562        52.3793       0.523793
    5         0        0.50105      0.0050105        64.3455       0.643455
    5         0       0.597078     0.00597078        76.2936       0.762936
    5         0       0.694378     0.00694378        88.2288       0.882288
    5         0       0.790603     0.00790603         100.16         1.0016
    5         0       0.894995     0.00894995        112.951        1.12951
    5         0       0.991733     0.00991733        124.906        1.24906
    5         0        1.09092      0.0109092        136.889        1.36889
    5         0        1.19045      0.0119045        148.907        1.48907
    5         0        1.29323      0.0129323        160.969        1.60969
    5         0        1.39029      0.0139029        172.218        1.72218
    5         0        1.49577      0.0149577        184.388        1.84388
    5         0        1.60344      0.0160344        196.624        1.96624
    5         0        1.71279      0.0171279        208.932        2.08932
    5         0         1.8142       0.018142        220.431        2.20431
    5         0        1.92412      0.0192412        232.893        2.32893
    5         0        2.02741      0.0202741        244.543        2.44543
    5         0        2.13048      0.0213048        256.273        2.56273
