 *tel    numcsi   CsIInVoltage     errCsIInVoltage           CsIE       errCsIE
    5         0      0.0291354    0.000291354        9.79032      0.0979032
    5         0       0.120808     0.00120808        23.2303       0.232303
    5         0       0.224037     0.00224037        37.6887       0.376887
    5         0       0.321303     0.00321303         51.235        0.51235
    5         0        0.42444      0.0042444        65.9415       0.659415
    5         0         0.5219       0.005219        79.8311       0.798311
    5         0       0.617897     0.00617897        93.8637       0.938637
    5         0       0.708349     0.00708349        107.017        1.07017
    5         0       0.804397     0.00804397        121.318        1.21318
    5         0       0.901993     0.00901993        135.763        1.35763
    5         0       0.991733     0.00991733        149.313        1.49313
    5         0        1.08377      0.0108377        163.003        1.63003
    5         0        1.18323      0.0118323         177.91         1.7791
    5         0        1.27871      0.0127871        191.913        1.91913
    5         0        1.36748      0.0136748        204.983        2.04983
    5         0        1.46544      0.0146544        219.305        2.19305
    5         0        1.56551      0.0156551        233.805        2.33805
    5         0        1.65773      0.0165773        247.353        2.47353
    5         0         1.7513       0.017513        261.066        2.61066
    5         0          1.846        0.01846        274.948        2.74948
    5         0        1.93997      0.0193997        289.005        2.89005
    5         0        2.03518      0.0203518        303.244        3.03244
