 *tel    numcsi   CsIInVoltage     errCsIInVoltage           CsIE       errCsIE
    5         0      0.0270936    0.000270936        3.34547      0.0334547
    5         0       0.123801     0.00123801        14.9697       0.149697
    5         0       0.200537     0.00200537        25.3955       0.253955
    5         0       0.283441     0.00283441        36.9757       0.369757
    5         0       0.360602     0.00360602         47.793        0.47793
    5         0       0.437414     0.00437414        58.6874       0.586874
    5         0       0.514962     0.00514962        69.6462       0.696462
    5         0       0.591177     0.00591177        80.6645       0.806645
    5         0       0.668542     0.00668542        91.7417       0.917417
    5         0       0.745897     0.00745897        102.878        1.02878
    5         0       0.816296     0.00816296         113.21         1.1321
    5         0       0.893995     0.00893995        124.463        1.24463
    5         0       0.970973     0.00970973        135.778        1.35778
    5         0        1.04315      0.0104315        146.281        1.46281
    5         0        1.12252      0.0112252         157.72         1.5772
    5         0        1.19564      0.0119564         168.34         1.6834
    5         0        1.27767      0.0127767        179.909        1.79909
    5         0        1.35338      0.0135338        190.649        1.90649
    5         0        1.43124      0.0143124        201.448        2.01448
    5         0        1.50895      0.0150895        212.308        2.12308
    5         0        1.58833      0.0158833        223.229        2.23229
    5         0        1.66789      0.0166789         234.21         2.3421
