 *tel    numcsi   CsIInVoltage     errCsIInVoltage           CsIE       errCsIE
    5         0      0.0250537    0.000250537        6.56726      0.0656726
    5         0      0.0765171    0.000765171        16.1541       0.161541
    5         0        0.14076      0.0014076        26.5659       0.265659
    5         0       0.209332     0.00209332        36.6577       0.366577
    5         0       0.283441     0.00283441        46.8886       0.468886
    5         0       0.357685     0.00357685        56.8068       0.568068
    5         0       0.431426     0.00431426        66.4648       0.664648
    5         0       0.510991     0.00510991        76.5908       0.765908
    5         0       0.589216     0.00589216        86.5679       0.865679
    5         0       0.668542     0.00668542        96.4191       0.964191
    5         0       0.752703     0.00752703        106.765        1.06765
    5         0       0.831218     0.00831218        116.401        1.16401
    5         0        0.91596      0.0091596        126.542        1.26542
    5         0       0.999732     0.00999732        136.595        1.36595
    5         0        1.08581      0.0108581        146.568        1.46568
    5         0        1.17198      0.0117198        156.471        1.56471
    5         0        1.26616      0.0126616        166.889        1.66889
    5         0        1.35554      0.0135554        176.672        1.76672
    5         0         1.4526       0.014526        186.978        1.86978
    5         0        1.54559      0.0154559        196.669        1.96669
