 *tel    numcsi   CsIInVoltage     errCsIInVoltage           CsIE       errCsIE
    5         0      0.0332149    0.000332149        6.83441      0.0683441
    5         0        0.12979      0.0012979        20.2772       0.202772
    5         0       0.218148     0.00218148        34.2171       0.342171
    5         0       0.307368     0.00307368        48.5343       0.485343
    5         0       0.389785     0.00389785        62.1292       0.621292
    5         0       0.479184     0.00479184        76.8778       0.768778
    5         0       0.561999     0.00561999        90.7892       0.907892
    5         0        0.64476      0.0064476        104.831        1.04831
    5         0       0.728231     0.00728231        118.999        1.18999
    5         0       0.804397     0.00804397         132.27         1.3227
    5         0       0.887997     0.00887997        146.684        1.46684
    5         0       0.965097     0.00965097        160.184        1.60184
    5         0        1.04922      0.0104922        174.849        1.74849
    5         0         1.1286       0.011286        188.587        1.88587
    5         0        1.20817      0.0120817        202.441        2.02441
    5         0        1.29012      0.0129012        216.415        2.16415
    5         0        1.37291      0.0137291        230.509        2.30509
    5         0        1.45687      0.0145687        244.726        2.44726
    5         0        1.53557      0.0153557        257.961        2.57961
    5         0        1.62087      0.0162087         272.42         2.7242
    5         0        1.70164      0.0170164         285.88         2.8588
