 *tel    numcsi   CsIInVoltage     errCsIInVoltage           CsIE       errCsIE
    5         0      0.0199709    0.000199709           28.2          0.282
    5         0      0.0603461    0.000603461        39.7561       0.397561
    5         0       0.110859     0.00110859        52.0793       0.520793
    5         0       0.165431     0.00165431        64.0059       0.640059
    5         0       0.228952     0.00228952        76.8103       0.768103
    5         0       0.293407     0.00293407        88.7665       0.887665
    5         0       0.357685     0.00357685        100.148        1.00148
    5         0       0.431426     0.00431426        112.844        1.12844
    5         0        0.50105      0.0050105        124.352        1.24352
    5         0         0.5746       0.005746        136.438        1.36438
    5         0       0.648728     0.00648728        148.301        1.48301
    5         0       0.728231     0.00728231        160.741        1.60741
    5         0       0.806377     0.00806377        172.988        1.72988
    5         0       0.881004     0.00881004        184.309        1.84309
    5         0       0.965097     0.00965097         196.97         1.9697
    5         0        1.04517      0.0104517        208.734        2.08734
    5         0        1.12657      0.0112657        220.361        2.20361
    5         0        1.21341      0.0121341        232.578        2.32578
    5         0        1.30255      0.0130255        244.662        2.44662
    5         0        1.39354      0.0139354        256.623        2.56623
    5         0        1.48487      0.0148487        268.472        2.68472
    5         0        1.58401      0.0158401        280.902        2.80902
