 *tel    numcsi   CsIInVoltage     errCsIInVoltage           CsIE       errCsIE
    5         0      0.0199709    0.000199709        8.25598      0.0825598
    5         0      0.0603461    0.000603461        17.9101       0.179101
    5         0       0.110859     0.00110859        28.2004       0.282004
    5         0       0.165431     0.00165431        38.2031       0.382031
    5         0       0.228952     0.00228952        48.9809       0.489809
    5         0       0.288423     0.00288423        58.3182       0.583182
    5         0       0.357685     0.00357685        68.7152       0.687152
    5         0       0.426435     0.00426435        78.7205       0.787205
    5         0       0.496077     0.00496077        88.4405       0.884405
    5         0        0.56975      0.0056975        98.6288       0.986288
    5         0       0.643768     0.00643768        108.618        1.08618
    5         0       0.718312     0.00718312        118.436        1.18436
    5         0       0.796501     0.00796501        128.743        1.28743
    5         0       0.876016     0.00876016        138.898        1.38898
    5         0       0.955328     0.00955328        148.915        1.48915
    5         0        1.03505      0.0103505        158.807        1.58807
    5         0        1.11642      0.0111642        168.585        1.68585
    5         0        1.20293      0.0120293         178.86         1.7886
    5         0        1.28701      0.0128701        188.431        1.88431
    5         0        1.37726      0.0137726        198.503        1.98503
    5         0        1.46866      0.0146866        208.483        2.08483
    5         0         1.5677       0.015677        218.959        2.18959
