 *tel    numcsi   CsIInVoltage     errCsIInVoltage           CsIE       errCsIE
    5         0      0.0291354    0.000291354        10.7328       0.107328
    5         0       0.127794     0.00127794        25.6318       0.256318
    5         0        0.23092      0.0023092        40.3526       0.403526
    5         0       0.342057     0.00342057        55.9659       0.559659
    5         0       0.445392     0.00445392        70.6931       0.706931
    5         0       0.549386     0.00549386        85.4903       0.854903
    5         0       0.652693     0.00652693        100.346        1.00346
    5         0       0.756584     0.00756584        115.259        1.15259
    5         0       0.860076     0.00860076        130.235        1.30235
    5         0       0.964119     0.00964119        145.282        1.45282
    5         0        1.06952      0.0106952         160.41         1.6041
    5         0        1.17606      0.0117606        175.632        1.75632
    5         0        1.28598      0.0128598        190.956        1.90956
    5         0        1.39029      0.0139029         205.36         2.0536
    5         0        1.50345      0.0150345        220.913        2.20913
    5         0        1.61103      0.0161103        235.546        2.35546
    5         0        1.72054      0.0172054        250.301        2.50301
    5         0        1.83013      0.0183013        265.185        2.65185
    5         0        1.93997      0.0193997        280.203        2.80203
    5         0        2.05072      0.0205072        295.362        2.95362
