 *tel    numcsi   CsIInVoltage     errCsIInVoltage           CsIE       errCsIE
    5         0      0.0199709    0.000199709        9.88148      0.0988148
    5         0      0.0656076    0.000656076        21.5502       0.215502
    5         0       0.115827     0.00115827        32.4556       0.324556
    5         0         0.1752       0.001752        43.9179       0.439179
    5         0       0.233874     0.00233874         54.345        0.54345
    5         0        0.30338      0.0030338        65.7325       0.657325
    5         0       0.372253     0.00372253        76.5787       0.765787
    5         0       0.446388     0.00446388         87.791        0.87791
    5         0        0.52091      0.0052091        98.6301       0.986301
    5         0       0.599051     0.00599051        109.919        1.09919
    5         0       0.678458     0.00678458        120.935        1.20935
    5         0       0.757553     0.00757553        131.753        1.31753
    5         0       0.836194     0.00836194         142.38         1.4238
    5         0       0.920931     0.00920931        153.482        1.53482
    5         0        1.00475      0.0100475        164.408        1.64408
    5         0        1.09602      0.0109602          175.8          1.758
    5         0         1.1822       0.011822        186.406        1.86406
    5         0        1.27663      0.0127663        197.487        1.97487
    5         0        1.37183      0.0137183        208.426        2.08426
    5         0        1.47405      0.0147405        219.831        2.19831
    5         0        1.57316      0.0157316        230.513        2.30513
