 *tel    numcsi   CsIInVoltage     errCsIInVoltage           CsIE       errCsIE
    5         0      0.0352464    0.000352464        4.97152      0.0497152
    5         0       0.115827     0.00115827        15.3998       0.153998
    5         0       0.194685     0.00194685        26.5292       0.265292
    5         0       0.268515     0.00268515        37.3622       0.373622
    5         0       0.343039     0.00343039         48.481        0.48481
    5         0       0.416467     0.00416467        59.8454       0.598454
    5         0       0.486137     0.00486137        70.6581       0.706581
    5         0       0.555214     0.00555214        81.6631       0.816631
    5         0        0.62387      0.0062387        92.8593       0.928593
    5         0       0.688398     0.00688398        103.428        1.03428
    5         0       0.757553     0.00757553        114.999        1.14999
    5         0       0.821266     0.00821266         125.92         1.2592
    5         0       0.881004     0.00881004        136.157        1.36157
    5         0       0.945558     0.00945558        147.421        1.47421
    5         0        1.00978      0.0100978        158.869        1.58869
    5         0        1.07053      0.0107053        169.605        1.69605
    5         0        1.13163      0.0113163        180.509        1.80509
    5         0        1.19253      0.0119253        191.584        1.91584
    5         0        1.25564      0.0125564        202.836        2.02836
    5         0        1.31294      0.0131294        213.312        2.13312
    5         0        1.37726      0.0137726        224.921        2.24921
