 *tel    numcsi   CsIInVoltage     errCsIInVoltage           CsIE       errCsIE
    5         0      0.0199709    0.000199709        19.1933       0.191933
    5         0      0.0712965    0.000712965        30.9406       0.309406
    5         0       0.125797     0.00125797        41.6871       0.416871
    5         0       0.184944     0.00184944        52.1853       0.521853
    5         0       0.253631     0.00253631        63.6724       0.636724
    5         0       0.323289     0.00323289        74.7336       0.747336
    5         0       0.391744     0.00391744        85.4983       0.854983
    5         0       0.466275     0.00466275        96.8229       0.968229
    5         0       0.540609     0.00540609        107.981        1.07981
    5         0       0.608951     0.00608951        118.271        1.18271
    5         0       0.688398     0.00688398        129.898        1.29898
    5         0       0.762397     0.00762397        140.681        1.40681
    5         0       0.836194     0.00836194         151.36         1.5136
    5         0        0.91596      0.0091596        162.645        1.62645
    5         0       0.994728     0.00994728        173.829        1.73829
    5         0        1.07562      0.0107562        184.921        1.84921
    5         0         1.1568       0.011568        195.928        1.95928
    5         0        1.23979      0.0123979        206.858        2.06858
    5         0        1.32342      0.0132342        217.717        2.17717
    5         0        1.40977      0.0140977        228.512        2.28512
    5         0        1.50125      0.0150125        239.919        2.39919
    5         0        1.58941      0.0158941          250.6          2.506
