 *tel  csi     Z    A     CsICh  errCsICh     CsIV         errCsIV             CsIE        errCsIE            ESi        errESi
    5    0    1    1        84       0.5      0.0149278    0.000149278          2.51176      0.0251176        12.8032       0.128032
    5    0    1    1        89       0.5      0.0199709    0.000199709          3.12598      0.0312598        12.3704       0.123704
    5    0    1    1        94       0.5      0.0250537    0.000250537          3.73918      0.0373918         11.961        0.11961
    5    0    1    1        99       0.5      0.0301564    0.000301564          4.35383      0.0435383        11.5723       0.115723
    5    0    1    1       104       0.5      0.0352464    0.000352464          4.97152      0.0497152        11.2022       0.112022
    5    0    1    1       109       0.5      0.0402838    0.000402838          5.59323      0.0559323        10.8494       0.108494
    5    0    1    1       114       0.5      0.0453225    0.000453225           6.2196       0.062196        10.5125       0.105125
    5    0    1    1       119       0.5      0.0504392    0.000504392          6.85093      0.0685093        10.1908       0.101908
    5    0    1    1       124       0.5      0.0554669    0.000554669           7.4873       0.074873        9.88329      0.0988329
    5    0    1    1       129       0.5      0.0603461    0.000603461          8.12866      0.0812866        9.58943      0.0958943
    5    0    1    1       134       0.5      0.0656076    0.000656076          8.77485      0.0877485        9.30855      0.0930855
    5    0    1    1       139       0.5      0.0712965    0.000712965          9.42579      0.0942579        9.04007      0.0904007
    5    0    1    1       144       0.5      0.0765171    0.000765171          10.0786       0.100786        8.78345      0.0878345
    5    0    1    1       149       0.5      0.0812893    0.000812893          10.7313       0.107313        8.53815      0.0853815
    5    0    1    1       154       0.5      0.0861639    0.000861639          11.3886       0.113886        8.30366      0.0830366
    5    0    1    1       159       0.5      0.0911461    0.000911461          12.0497       0.120497        8.07948      0.0807948
    5    0    1    1       164       0.5      0.0960769    0.000960769          12.7135       0.127135        7.86513      0.0786513
    5    0    1    1       169       0.5       0.100982     0.00100982          13.3806       0.133806        7.66015      0.0766015
    5    0    1    1       174       0.5       0.105909     0.00105909          14.0508       0.140508        7.46408      0.0746408
    5    0    1    1       179       0.5       0.110859     0.00110859          14.7239       0.147239        7.27649      0.0727649
    5    0    1    1       184       0.5       0.115827     0.00115827          15.3998       0.153998        7.09696      0.0709696
    5    0    1    1       189       0.5       0.120808     0.00120808          16.0785       0.160785        6.92509      0.0692509
    5    0    1    1       194       0.5       0.125797     0.00125797          16.7598       0.167598        6.76049      0.0676049
    5    0    1    1       199       0.5       0.130789     0.00130789          17.4436       0.174436         6.6028       0.066028
    5    0    1    1       204       0.5       0.135778     0.00135778          18.1299       0.181299        6.45167      0.0645167
    5    0    1    1       209       0.5        0.14076      0.0014076          18.8185       0.188185        6.30675      0.0630675
    5    0    1    1       214       0.5       0.145729     0.00145729          19.5094       0.195094        6.16774      0.0616774
    5    0    1    1       219       0.5       0.150681     0.00150681          20.2025       0.202025        6.03433      0.0603433
    5    0    1    1       224       0.5       0.155614     0.00155614          20.8978       0.208978        5.90625      0.0590625
    5    0    1    1       229       0.5        0.16053      0.0016053          21.5951       0.215951         5.7832       0.057832
    5    0    1    1       234       0.5       0.165431     0.00165431          22.2944       0.222944        5.66495      0.0566495
    5    0    1    1       239       0.5        0.17032      0.0017032          22.9956       0.229956        5.55125      0.0555125
    5    0    1    1       244       0.5         0.1752       0.001752          23.6988       0.236988        5.44188      0.0544188
    5    0    1    1       249       0.5       0.180074     0.00180074          24.4038       0.244038        5.33661      0.0533661
    5    0    1    1       254       0.5       0.184944     0.00184944          25.1105       0.251105        5.23524      0.0523524
    5    0    1    1       259       0.5       0.189814     0.00189814           25.819        0.25819        5.13758      0.0513758
    5    0    1    1       264       0.5       0.194685     0.00194685          26.5292       0.265292        5.04345      0.0504345
    5    0    1    1       269       0.5       0.199561     0.00199561          27.2411       0.272411        4.95268      0.0495268
    5    0    1    1       274       0.5       0.204443     0.00204443          27.9545       0.279545        4.86511      0.0486511
    5    0    1    1       279       0.5       0.209332     0.00209332          28.6696       0.286696        4.78058      0.0478058
    5    0    1    1       284       0.5       0.214227     0.00214227          29.3862       0.293862        4.69895      0.0469895
    5    0    1    1       289       0.5       0.219128     0.00219128          30.1043       0.301043        4.62008      0.0462008
    5    0    1    1       294       0.5       0.224037     0.00224037          30.8238       0.308238        4.54385      0.0454385
    5    0    1    1       299       0.5       0.228952     0.00228952          31.5448       0.315448        4.47013      0.0447013
    5    0    1    1       304       0.5       0.233874     0.00233874          32.2672       0.322672        4.39882      0.0439882
    5    0    1    1       309       0.5       0.238803     0.00238803           32.991        0.32991        4.32979      0.0432979
    5    0    1    1       314       0.5       0.243739     0.00243739          33.7162       0.337162        4.26296      0.0426296
    5    0    1    1       319       0.5       0.248681     0.00248681          34.4428       0.344428        4.19821      0.0419821
    5    0    1    1       324       0.5       0.253631     0.00253631          35.1707       0.351707        4.13547      0.0413547
    5    0    1    1       329       0.5       0.258587     0.00258587          35.8999       0.358999        4.07465      0.0407465
    5    0    1    1       334       0.5       0.263549     0.00263549          36.6304       0.366304        4.01565      0.0401565
    5    0    1    1       339       0.5       0.268515     0.00268515          37.3622       0.373622        3.95841      0.0395841
    5    0    1    1       344       0.5       0.273487     0.00273487          38.0952       0.380952        3.90286      0.0390286
    5    0    1    1       349       0.5       0.278462     0.00278462          38.8294       0.388294        3.84891      0.0384891
    5    0    1    1       354       0.5       0.283441     0.00283441          39.5649       0.395649        3.79651      0.0379651
    5    0    1    1       359       0.5       0.288423     0.00288423          40.3015       0.403015        3.74559      0.0374559
    5    0    1    1       364       0.5       0.293407     0.00293407          41.0394       0.410394        3.69609      0.0369609
    5    0    1    1       369       0.5       0.298393     0.00298393          41.7785       0.417785        3.64796      0.0364796
    5    0    1    1       374       0.5        0.30338      0.0030338          42.5187       0.425187        3.60115      0.0360115
    5    0    1    1       379       0.5       0.308365     0.00308365            43.26         0.4326        3.55559      0.0355559
    5    0    1    1       384       0.5       0.313346     0.00313346          44.0025       0.440025        3.51125      0.0351125
    5    0    1    1       389       0.5       0.318321     0.00318321          44.7461       0.447461        3.46807      0.0346807
    5    0    1    1       394       0.5       0.323289     0.00323289          45.4908       0.454908        3.42601      0.0342601
    5    0    1    1       399       0.5       0.328246     0.00328246          46.2367       0.462367        3.38504      0.0338504
    5    0    1    1       404       0.5       0.333192     0.00333192          46.9837       0.469837        3.34511      0.0334511
    5    0    1    1       409       0.5       0.338123     0.00338123          47.7318       0.477318        3.30617      0.0330617
    5    0    1    1       414       0.5       0.343039     0.00343039           48.481        0.48481        3.26821      0.0326821
    5    0    1    1       419       0.5       0.347936     0.00347936          49.2312       0.492312        3.23117      0.0323117
    5    0    1    1       424       0.5       0.352817     0.00352817          49.9825       0.499825        3.19504      0.0319504
    5    0    1    1       429       0.5       0.357685     0.00357685          50.7349       0.507349        3.15977      0.0315977
    5    0    1    1       434       0.5       0.362545     0.00362545          51.4884       0.514884        3.12534      0.0312534
    5    0    1    1       439       0.5       0.367399     0.00367399           52.243        0.52243        3.09171      0.0309171
    5    0    1    1       444       0.5       0.372253     0.00372253          52.9987       0.529987        3.05887      0.0305887
    5    0    1    1       449       0.5       0.377111     0.00377111          53.7554       0.537554        3.02678      0.0302678
    5    0    1    1       454       0.5       0.381976     0.00381976           54.513        0.54513        2.99542      0.0299542
    5    0    1    1       459       0.5       0.386852     0.00386852          55.2717       0.552717        2.96476      0.0296476
    5    0    1    1       464       0.5       0.391744     0.00391744          56.0314       0.560314        2.93479      0.0293479
    5    0    1    1       469       0.5       0.396654     0.00396654          56.7921       0.567921        2.90547      0.0290547
    5    0    1    1       474       0.5       0.401585     0.00401585          57.5539       0.575539         2.8768       0.028768
    5    0    1    1       479       0.5       0.406532     0.00406532          58.3168       0.583168        2.84874      0.0284874
    5    0    1    1       484       0.5       0.411494     0.00411494          59.0806       0.590806        2.82128      0.0282128
    5    0    1    1       489       0.5       0.416467     0.00416467          59.8454       0.598454         2.7944       0.027944
    5    0    1    1       494       0.5       0.421448     0.00421448          60.6112       0.606112        2.76808      0.0276808
    5    0    1    1       499       0.5       0.426435     0.00426435          61.3781       0.613781        2.74231      0.0274231
    5    0    1    1       504       0.5       0.431426     0.00431426           62.146        0.62146        2.71706      0.0271706
    5    0    1    1       509       0.5       0.436417     0.00436417          62.9149       0.629149        2.69233      0.0269233
    5    0    1    1       514       0.5       0.441405     0.00441405          63.6848       0.636848        2.66809      0.0266809
    5    0    1    1       519       0.5       0.446388     0.00446388          64.4557       0.644557        2.64434      0.0264434
    5    0    1    1       524       0.5       0.451366     0.00451366          65.2276       0.652276        2.62105      0.0262105
    5    0    1    1       529       0.5       0.456339     0.00456339          66.0004       0.660004        2.59822      0.0259822
    5    0    1    1       534       0.5       0.461308     0.00461308          66.7742       0.667742        2.57584      0.0257584
    5    0    1    1       539       0.5       0.466275     0.00466275          67.5491       0.675491        2.55388      0.0255388
    5    0    1    1       544       0.5       0.471241     0.00471241          68.3249       0.683249        2.53233      0.0253233
    5    0    1    1       549       0.5       0.476205     0.00476205          69.1017       0.691017         2.5112       0.025112
    5    0    1    1       554       0.5        0.48117      0.0048117          69.8794       0.698794        2.49045      0.0249045
    5    0    1    1       559       0.5       0.486137     0.00486137          70.6581       0.706581        2.47009      0.0247009
    5    0    1    1       564       0.5       0.491105     0.00491105          71.4377       0.714377         2.4501       0.024501
    5    0    1    1       569       0.5       0.496077     0.00496077          72.2184       0.722184        2.43048      0.0243048
    5    0    1    1       574       0.5        0.50105      0.0050105          73.0001       0.730001        2.41121      0.0241121
    5    0    1    1       579       0.5       0.506022     0.00506022          73.7828       0.737828        2.39228      0.0239228
    5    0    1    1       584       0.5       0.510991     0.00510991          74.5664       0.745664        2.37369      0.0237369
    5    0    1    1       589       0.5       0.515954     0.00515954          75.3511       0.753511        2.35542      0.0235542
    5    0    1    1       594       0.5        0.52091      0.0052091          76.1367       0.761367        2.33747      0.0233747
    5    0    1    1       599       0.5       0.525856     0.00525856          76.9233       0.769233        2.31982      0.0231982
    5    0    1    1       604       0.5       0.530789     0.00530789          77.7109       0.777109        2.30248      0.0230248
    5    0    1    1       609       0.5       0.535707     0.00535707          78.4995       0.784995        2.28544      0.0228544
    5    0    1    1       614       0.5       0.540609     0.00540609           79.289        0.79289        2.26868      0.0226868
    5    0    1    1       619       0.5       0.545492     0.00545492          80.0794       0.800794         2.2522       0.022522
    5    0    1    1       624       0.5       0.550359     0.00550359          80.8708       0.808708        2.23599      0.0223599
    5    0    1    1       629       0.5       0.555214     0.00555214          81.6631       0.816631        2.22004      0.0222004
    5    0    1    1       634       0.5       0.560061     0.00560061          82.4563       0.824563        2.20436      0.0220436
    5    0    1    1       639       0.5       0.564906     0.00564906          83.2506       0.832506        2.18893      0.0218893
    5    0    1    1       644       0.5        0.56975      0.0056975          84.0459       0.840459        2.17374      0.0217374
    5    0    1    1       649       0.5         0.5746       0.005746          84.8422       0.848422         2.1588       0.021588
    5    0    1    1       654       0.5       0.579458     0.00579458          85.6395       0.856395        2.14409      0.0214409
    5    0    1    1       659       0.5       0.584328     0.00584328          86.4379       0.864379        2.12961      0.0212961
    5    0    1    1       664       0.5       0.589216     0.00589216          87.2372       0.872372        2.11536      0.0211536
    5    0    1    1       669       0.5       0.594124     0.00594124          88.0375       0.880375        2.10132      0.0210132
    5    0    1    1       674       0.5       0.599051     0.00599051          88.8388       0.888388         2.0875       0.020875
    5    0    1    1       679       0.5       0.603995     0.00603995           89.641        0.89641        2.07389      0.0207389
    5    0    1    1       684       0.5       0.608951     0.00608951          90.4442       0.904442        2.06049      0.0206049
    5    0    1    1       689       0.5       0.613918     0.00613918          91.2482       0.912482        2.04728      0.0204728
    5    0    1    1       694       0.5       0.618892     0.00618892          92.0533       0.920533        2.03427      0.0203427
    5    0    1    1       699       0.5        0.62387      0.0062387          92.8593       0.928593        2.02145      0.0202145
    5    0    1    1       704       0.5        0.62885      0.0062885          93.6663       0.936663        2.00882      0.0200882
    5    0    1    1       709       0.5       0.633828     0.00633828          94.4743       0.944743        1.99637      0.0199637
    5    0    1    1       714       0.5       0.638801     0.00638801          95.2833       0.952833         1.9841       0.019841
    5    0    1    1       719       0.5       0.643768     0.00643768          96.0933       0.960933          1.972        0.01972
    5    0    1    1       724       0.5       0.648728     0.00648728          96.9043       0.969043        1.96008      0.0196008
