 *tel  csi     Z    A     CsICh  errCsICh     CsIV         errCsIV             CsIE        errCsIE            ESi        errESi
    5    0    1    1       414       0.5       0.343039     0.00343039          57.8134       0.578134        3.26821      0.0326821
    5    0    1    1       419       0.5       0.347936     0.00347936          58.7107       0.587107        3.23117      0.0323117
    5    0    1    1       424       0.5       0.352817     0.00352817          59.6099       0.596099        3.19504      0.0319504
    5    0    1    1       429       0.5       0.357685     0.00357685          60.5109       0.605109        3.15977      0.0315977
    5    0    1    1       434       0.5       0.362545     0.00362545          61.4137       0.614137        3.12534      0.0312534
    5    0    1    1       439       0.5       0.367399     0.00367399          62.3183       0.623183        3.09171      0.0309171
    5    0    1    1       444       0.5       0.372253     0.00372253          63.2248       0.632248        3.05887      0.0305887
    5    0    1    1       449       0.5       0.377111     0.00377111           64.133        0.64133        3.02678      0.0302678
    5    0    1    1       454       0.5       0.381976     0.00381976          65.0429       0.650429        2.99542      0.0299542
    5    0    1    1       459       0.5       0.386852     0.00386852          65.9545       0.659545        2.96476      0.0296476
    5    0    1    1       464       0.5       0.391744     0.00391744          66.8679       0.668679        2.93479      0.0293479
    5    0    1    1       469       0.5       0.396654     0.00396654          67.7831       0.677831        2.90547      0.0290547
    5    0    1    1       474       0.5       0.401585     0.00401585          68.7001       0.687001         2.8768       0.028768
    5    0    1    1       479       0.5       0.406532     0.00406532          69.6187       0.696187        2.84874      0.0284874
    5    0    1    1       484       0.5       0.411494     0.00411494           70.539        0.70539        2.82128      0.0282128
    5    0    1    1       489       0.5       0.416467     0.00416467          71.4611       0.714611         2.7944       0.027944
    5    0    1    1       494       0.5       0.421448     0.00421448           72.385        0.72385        2.76808      0.0276808
    5    0    1    1       499       0.5       0.426435     0.00426435          73.3106       0.733106        2.74231      0.0274231
    5    0    1    1       504       0.5       0.431426     0.00431426          74.2379       0.742379        2.71706      0.0271706
    5    0    1    1       509       0.5       0.436417     0.00436417          75.1671       0.751671        2.69233      0.0269233
    5    0    1    1       514       0.5       0.441405     0.00441405          76.0979       0.760979        2.66809      0.0266809
    5    0    1    1       519       0.5       0.446388     0.00446388          77.0305       0.770305        2.64434      0.0264434
    5    0    1    1       524       0.5       0.451366     0.00451366          77.9648       0.779648        2.62105      0.0262105
    5    0    1    1       529       0.5       0.456339     0.00456339          78.9008       0.789008        2.59822      0.0259822
    5    0    1    1       534       0.5       0.461308     0.00461308          79.8385       0.798385        2.57584      0.0257584
    5    0    1    1       539       0.5       0.466275     0.00466275          80.7778       0.807778        2.55388      0.0255388
    5    0    1    1       544       0.5       0.471241     0.00471241          81.7188       0.817188        2.53233      0.0253233
    5    0    1    1       549       0.5       0.476205     0.00476205          82.6615       0.826615         2.5112       0.025112
    5    0    1    1       554       0.5        0.48117      0.0048117           83.606        0.83606        2.49045      0.0249045
    5    0    1    1       559       0.5       0.486137     0.00486137          84.5523       0.845523        2.47009      0.0247009
    5    0    1    1       564       0.5       0.491105     0.00491105          85.5004       0.855004         2.4501       0.024501
    5    0    1    1       569       0.5       0.496077     0.00496077          86.4502       0.864502        2.43048      0.0243048
    5    0    1    1       574       0.5        0.50105      0.0050105          87.4018       0.874018        2.41121      0.0241121
    5    0    1    1       579       0.5       0.506022     0.00506022          88.3551       0.883551        2.39228      0.0239228
    5    0    1    1       584       0.5       0.510991     0.00510991          89.3101       0.893101        2.37369      0.0237369
    5    0    1    1       589       0.5       0.515954     0.00515954          90.2667       0.902667        2.35542      0.0235542
    5    0    1    1       594       0.5        0.52091      0.0052091           91.225        0.91225        2.33747      0.0233747
    5    0    1    1       599       0.5       0.525856     0.00525856           92.185        0.92185        2.31982      0.0231982
    5    0    1    1       604       0.5       0.530789     0.00530789          93.1468       0.931468        2.30248      0.0230248
    5    0    1    1       609       0.5       0.535707     0.00535707          94.1103       0.941103        2.28544      0.0228544
    5    0    1    1       614       0.5       0.540609     0.00540609          95.0755       0.950755        2.26868      0.0226868
    5    0    1    1       619       0.5       0.545492     0.00545492          96.0426       0.960426         2.2522       0.022522
    5    0    1    1       624       0.5       0.550359     0.00550359          97.0114       0.970114        2.23599      0.0223599
    5    0    1    1       629       0.5       0.555214     0.00555214           97.982        0.97982        2.22004      0.0222004
    5    0    1    1       634       0.5       0.560061     0.00560061          98.9543       0.989543        2.20436      0.0220436
    5    0    1    1       639       0.5       0.564906     0.00564906          99.9283       0.999283        2.18893      0.0218893
    5    0    1    1       644       0.5        0.56975      0.0056975          100.904        1.00904        2.17374      0.0217374
    5    0    1    1       649       0.5         0.5746       0.005746          101.881        1.01881         2.1588       0.021588
    5    0    1    1       654       0.5       0.579458     0.00579458          102.861        1.02861        2.14409      0.0214409
    5    0    1    1       659       0.5       0.584328     0.00584328          103.842        1.03842        2.12961      0.0212961
    5    0    1    1       664       0.5       0.589216     0.00589216          104.824        1.04824        2.11536      0.0211536
    5    0    1    1       669       0.5       0.594124     0.00594124          105.809        1.05809        2.10132      0.0210132
    5    0    1    1       674       0.5       0.599051     0.00599051          106.795        1.06795         2.0875       0.020875
    5    0    1    1       679       0.5       0.603995     0.00603995          107.783        1.07783        2.07389      0.0207389
    5    0    1    1       684       0.5       0.608951     0.00608951          108.773        1.08773        2.06049      0.0206049
    5    0    1    1       689       0.5       0.613918     0.00613918          109.765        1.09765        2.04728      0.0204728
    5    0    1    1       694       0.5       0.618892     0.00618892          110.758        1.10758        2.03427      0.0203427
    5    0    1    1       699       0.5        0.62387      0.0062387          111.754        1.11754        2.02145      0.0202145
    5    0    1    1       704       0.5        0.62885      0.0062885          112.751        1.12751        2.00882      0.0200882
    5    0    1    1       709       0.5       0.633828     0.00633828           113.75         1.1375        1.99637      0.0199637
    5    0    1    1       714       0.5       0.638801     0.00638801          114.751        1.14751         1.9841       0.019841
    5    0    1    1       719       0.5       0.643768     0.00643768          115.753        1.15753          1.972        0.01972
    5    0    1    1       724       0.5       0.648728     0.00648728          116.757        1.16757        1.96008      0.0196008
    5    0    1    1       729       0.5       0.653684     0.00653684          117.763        1.17763        1.94832      0.0194832
    5    0    1    1       734       0.5       0.658637     0.00658637           118.77         1.1877        1.93673      0.0193673
    5    0    1    1       739       0.5       0.663589     0.00663589           119.78         1.1978         1.9253       0.019253
    5    0    1    1       744       0.5       0.668542     0.00668542          120.791        1.20791        1.91403      0.0191403
    5    0    1    1       749       0.5       0.673498     0.00673498          121.804        1.21804        1.90291      0.0190291
    5    0    1    1       754       0.5       0.678458     0.00678458          122.819        1.22819        1.89194      0.0189194
    5    0    1    1       759       0.5       0.683424     0.00683424          123.836        1.23836        1.88113      0.0188113
    5    0    1    1       764       0.5       0.688398     0.00688398          124.855        1.24855        1.87045      0.0187045
    5    0    1    1       769       0.5       0.693381     0.00693381          125.875        1.25875        1.85992      0.0185992
    5    0    1    1       774       0.5       0.698369     0.00698369          126.898        1.26898        1.84953      0.0184953
    5    0    1    1       779       0.5       0.703359     0.00703359          127.922        1.27922        1.83927      0.0183927
    5    0    1    1       784       0.5       0.708349     0.00708349          128.949        1.28949        1.82915      0.0182915
    5    0    1    1       789       0.5       0.713334     0.00713334          129.976        1.29976        1.81916      0.0181916
    5    0    1    1       794       0.5       0.718312     0.00718312          131.006        1.31006         1.8093       0.018093
    5    0    1    1       799       0.5       0.723278     0.00723278          132.037        1.32037        1.79956      0.0179956
    5    0    1    1       804       0.5       0.728231     0.00728231          133.071        1.33071        1.78995      0.0178995
    5    0    1    1       809       0.5       0.733165     0.00733165          134.106        1.34106        1.78046      0.0178046
    5    0    1    1       814       0.5       0.738079     0.00738079          135.143        1.35143        1.77109      0.0177109
    5    0    1    1       819       0.5       0.742971     0.00742971          136.182        1.36182        1.76184      0.0176184
    5    0    1    1       824       0.5       0.747844     0.00747844          137.223        1.37223         1.7527       0.017527
    5    0    1    1       829       0.5       0.752703     0.00752703          138.266        1.38266        1.74368      0.0174368
    5    0    1    1       834       0.5       0.757553     0.00757553          139.311        1.39311        1.73476      0.0173476
    5    0    1    1       839       0.5       0.762397     0.00762397          140.358        1.40358        1.72595      0.0172595
    5    0    1    1       844       0.5        0.76724      0.0076724          141.407        1.41407        1.71726      0.0171726
    5    0    1    1       849       0.5       0.772086     0.00772086          142.457        1.42457        1.70866      0.0170866
    5    0    1    1       854       0.5       0.776939     0.00776939           143.51         1.4351        1.70017      0.0170017
    5    0    1    1       859       0.5       0.781804     0.00781804          144.564        1.44564        1.69178      0.0169178
    5    0    1    1       864       0.5       0.786684     0.00786684          145.621        1.45621        1.68348      0.0168348
    5    0    1    1       869       0.5       0.791584     0.00791584          146.679        1.46679        1.67529      0.0167529
    5    0    1    1       874       0.5       0.796501     0.00796501          147.739        1.47739        1.66719      0.0166719
    5    0    1    1       879       0.5       0.801432     0.00801432          148.801        1.48801        1.65918      0.0165918
    5    0    1    1       884       0.5       0.806377     0.00806377          149.866        1.49866        1.65127      0.0165127
    5    0    1    1       889       0.5       0.811332     0.00811332          150.932        1.50932        1.64345      0.0164345
    5    0    1    1       894       0.5       0.816296     0.00816296              152           1.52        1.63572      0.0163572
    5    0    1    1       899       0.5       0.821266     0.00821266           153.07         1.5307        1.62807      0.0162807
    5    0    1    1       904       0.5       0.826241     0.00826241          154.143        1.54143        1.62051      0.0162051
    5    0    1    1       909       0.5       0.831218     0.00831218          155.217        1.55217        1.61304      0.0161304
    5    0    1    1       914       0.5       0.836194     0.00836194          156.293        1.56293        1.60565      0.0160565
    5    0    1    1       919       0.5        0.84117      0.0084117           157.37         1.5737        1.59834      0.0159834
    5    0    1    1       924       0.5       0.846145     0.00846145           158.45         1.5845        1.59111      0.0159111
    5    0    1    1       929       0.5       0.851119     0.00851119          159.532        1.59532        1.58396      0.0158396
    5    0    1    1       934       0.5       0.856095     0.00856095          160.616        1.60616        1.57689      0.0157689
    5    0    1    1       939       0.5       0.861071     0.00861071          161.701        1.61701        1.56989      0.0156989
    5    0    1    1       944       0.5        0.86605      0.0086605           162.79         1.6279        1.56298      0.0156298
    5    0    1    1       949       0.5       0.871031     0.00871031           163.88         1.6388        1.55613      0.0155613
    5    0    1    1       954       0.5       0.876016     0.00876016          164.972        1.64972        1.54936      0.0154936
    5    0    1    1       959       0.5       0.881004     0.00881004          166.066        1.66066        1.54266      0.0154266
    5    0    1    1       964       0.5       0.885998     0.00885998          167.162        1.67162        1.53603      0.0153603
    5    0    1    1       969       0.5       0.890996     0.00890996          168.261        1.68261        1.52947      0.0152947
    5    0    1    1       974       0.5       0.895995     0.00895995          169.361        1.69361        1.52298      0.0152298
    5    0    1    1       979       0.5       0.900994     0.00900994          170.464        1.70464        1.51655      0.0151655
    5    0    1    1       984       0.5       0.905989     0.00905989          171.568        1.71568         1.5102       0.015102
    5    0    1    1       989       0.5       0.910979     0.00910979          172.675        1.72675         1.5039       0.015039
    5    0    1    1       994       0.5        0.91596      0.0091596          173.784        1.73784        1.49768      0.0149768
    5    0    1    1       999       0.5       0.920931     0.00920931          174.894        1.74894        1.49151      0.0149151
