 *tel    numcsi   CsIInVoltage     errCsIInVoltage           CsIE       errCsIE
    5         0       0.020985     0.00020985        11.0065       0.110065
    5         0      0.0881555    0.000881555        22.3086       0.223086
    5         0       0.165431     0.00165431        33.8274       0.338274
    5         0       0.235845     0.00235845        44.1988       0.441988
    5         0       0.313346     0.00313346        55.4531       0.554531
    5         0       0.389785     0.00389785        66.6451       0.666451
    5         0       0.467269     0.00467269        77.8009       0.778009
    5         0       0.544516     0.00544516        88.9264       0.889264
    5         0       0.614912     0.00614912         99.168        0.99168
    5         0       0.692384     0.00692384        110.233        1.10233
    5         0       0.769177     0.00769177        121.269        1.21269
    5         0       0.846145     0.00846145         132.28         1.3228
    5         0       0.923907     0.00923907         143.27         1.4327
    5         0        1.00073      0.0100073        154.246        1.54246
    5         0        1.07969      0.0107969        165.213        1.65213
    5         0        1.15882      0.0115882        176.174        1.76174
    5         0        1.24613      0.0124613        187.979        1.87979
    5         0        1.32764      0.0132764        198.946        1.98946
    5         0        1.41192      0.0141192        209.921        2.09921
    5         0        1.49577      0.0149577        220.911        2.20911
    5         0        1.58185      0.0158185        231.918        2.31918
    5         0        1.66789      0.0166789        242.947        2.42947
