 *tel    numcsi   CsIInVoltage     errCsIInVoltage           CsIE       errCsIE
    5         0      0.0291354    0.000291354        4.45009      0.0445009
    5         0       0.120808     0.00120808         16.425        0.16425
    5         0       0.217167     0.00217167        28.3846       0.283846
    5         0       0.314341     0.00314341        40.2565       0.402565
    5         0         0.4105       0.004105        52.1743       0.521743
    5         0        0.50801      0.0050801        64.1462       0.641462
    5         0       0.603995     0.00603995        76.1716       0.761716
    5         0       0.701363     0.00701363        88.2544       0.882544
    5         0       0.797486     0.00797486        100.401        1.00401
    5         0       0.894995     0.00894995        112.621        1.12621
    5         0       0.991733     0.00991733        124.923        1.24923
    5         0        1.08377      0.0108377        136.429        1.36429
    5         0        1.18323      0.0118323        148.915        1.48915
    5         0        1.27871      0.0127871        160.606        1.60606
    5         0        1.37509      0.0137509        172.397        1.72397
    5         0        1.47297      0.0147297        184.294        1.84294
    5         0        1.57316      0.0157316        196.302        1.96302
    5         0        1.67353      0.0167353        208.428        2.08428
    5         0        1.77459      0.0177459        220.677        2.20677
    5         0        1.86958      0.0186958        232.097        2.32097
    5         0        1.97197      0.0197197        244.596        2.44596
