 *tel    numcsi   CsIInVoltage     errCsIInVoltage           CsIE       errCsIE
    5         0      0.0270936    0.000270936        4.93262      0.0493262
    5         0      0.0941115    0.000941115        14.7919       0.147919
    5         0       0.171296     0.00171296        24.8959       0.248959
    5         0       0.247692     0.00247692        34.7433       0.347433
    5         0       0.325273     0.00325273        44.5916       0.445916
    5         0       0.401585     0.00401585        54.4519       0.544519
    5         0       0.485143     0.00485143        64.9685       0.649685
    5         0       0.561999     0.00561999        74.6435       0.746435
    5         0        0.64476      0.0064476         84.991        0.84991
    5         0       0.722286     0.00722286        94.5416       0.945416
    5         0       0.804397     0.00804397        104.772        1.04772
    5         0       0.887997     0.00887997        114.952        1.14952
    5         0       0.965097     0.00965097        124.369        1.24369
    5         0        1.04922      0.0104922        134.477        1.34477
    5         0        1.13465      0.0113465        144.559        1.44559
    5         0        1.22078      0.0122078         154.62         1.5462
    5         0        1.30877      0.0130877        164.668        1.64668
    5         0        1.39896      0.0139896        174.708        1.74708
    5         0        1.48923      0.0148923        184.744        1.84744
    5         0        1.58185      0.0158185        194.781        1.94781
    5         0        1.67466      0.0167466        204.823        2.04823
