 *tel    numcsi   CsIInVoltage     errCsIInVoltage           CsIE       errCsIE
    5         0      0.0199709    0.000199709        17.8752       0.178752
    5         0      0.0712965    0.000712965        29.1836       0.291836
    5         0       0.130789     0.00130789        40.5045       0.405045
    5         0       0.194685     0.00194685        51.4997       0.514997
    5         0       0.263549     0.00263549        62.6551       0.626551
    5         0       0.333192     0.00333192        73.4179       0.734179
    5         0       0.406532     0.00406532        84.6755       0.846755
    5         0        0.48117      0.0048117        95.7536       0.957536
    5         0       0.555214     0.00555214        106.692        1.06692
    5         0        0.62885      0.0062885        117.512        1.17512
    5         0       0.708349     0.00708349        128.937        1.28937
    5         0       0.781804     0.00781804         139.55         1.3955
    5         0       0.861071     0.00861071        150.774        1.50774
    5         0       0.940663     0.00940663        161.908        1.61908
    5         0        1.01987      0.0101987        172.961        1.72961
    5         0        1.10113      0.0110113        183.939        1.83939
    5         0         1.1822       0.011822        194.849        1.94849
    5         0        1.26616      0.0126616        205.699        2.05699
    5         0        1.35013      0.0135013        216.495        2.16495
    5         0        1.44192      0.0144192        227.913        2.27913
    5         0        1.52889      0.0152889        238.615        2.38615
    5         0        1.62197      0.0162197        249.945        2.49945
