 *tel    numcsi   CsIInVoltage     errCsIInVoltage           CsIE       errCsIE
    5         0      0.0250537    0.000250537        17.6886       0.176886
    5         0      0.0765171    0.000765171        28.2971       0.282971
    5         0        0.14076      0.0014076          39.97         0.3997
    5         0       0.204443     0.00204443        50.5588       0.505588
    5         0       0.273487     0.00273487        61.3583       0.613583
    5         0       0.347936     0.00347936         72.557        0.72557
    5         0       0.421448     0.00421448        83.5447       0.835447
    5         0       0.496077     0.00496077        94.3873       0.943873
    5         0         0.5746       0.005746        105.828        1.05828
    5         0       0.648728     0.00648728        116.456        1.16456
    5         0       0.728231     0.00728231          127.7          1.277
    5         0       0.806377     0.00806377        138.861        1.38861
    5         0       0.885998     0.00885998        149.945        1.49945
    5         0       0.965097     0.00965097        160.962        1.60962
    5         0        1.04517      0.0104517        171.919        1.71919
    5         0        1.12657      0.0112657        182.823        1.82823
    5         0        1.20817      0.0120817        193.679        1.93679
    5         0        1.29219      0.0129219        204.495        2.04495
    5         0        1.38269      0.0138269        215.949        2.15949
    5         0        1.46866      0.0146866        226.699        2.26699
    5         0        1.55669      0.0155669        237.424        2.37424
