 *tel    numcsi   CsIInVoltage     errCsIInVoltage           CsIE       errCsIE
    5         0      0.0352464    0.000352464        6.97313      0.0697313
    5         0       0.125797     0.00125797        20.4276       0.204276
    5         0       0.209332     0.00209332        34.3196       0.343196
    5         0       0.293407     0.00293407        48.9413       0.489413
    5         0       0.367399     0.00367399        62.3183       0.623183
    5         0       0.441405     0.00441405        76.0979       0.760979
    5         0       0.515954     0.00515954        90.2667       0.902667
    5         0       0.589216     0.00589216        104.824        1.04824
    5         0       0.658637     0.00658637         118.77         1.1877
    5         0       0.723278     0.00723278        132.037        1.32037
    5         0       0.791584     0.00791584        146.679        1.46679
    5         0       0.856095     0.00856095        160.616        1.60616
    5         0       0.920931     0.00920931        174.894        1.74894
    5         0       0.979826     0.00979826        188.391        1.88391
    5         0        1.04011      0.0104011        202.205        2.02205
    5         0        1.10113      0.0110113        216.348        2.16348
    5         0        1.16185      0.0116185        230.839        2.30839
    5         0        1.21867      0.0121867        244.439        2.44439
    5         0        1.27663      0.0127663        258.358        2.58358
    5         0        1.33402      0.0133402        272.611        2.72611
