 *tel    numcsi   CsIInVoltage     errCsIInVoltage           CsIE       errCsIE
   11         1      0.0402315    0.000402315        7.89539      0.0789539
   11         1      0.0976295    0.000976295        16.8844       0.168844
   11         1       0.155005     0.00155005        25.5329       0.255329
   11         1       0.217425     0.00217425        34.4673       0.344673
   11         1       0.283398     0.00283398        43.7241       0.437241
   11         1       0.350223     0.00350223        52.8356       0.528356
   11         1       0.417041     0.00417041        61.8561       0.618561
   11         1       0.483214     0.00483214        70.8218       0.708218
   11         1       0.550191     0.00550191        79.7588       0.797588
   11         1       0.617049     0.00617049        88.6869       0.886869
   11         1       0.683302     0.00683302        97.6207       0.976207
   11         1       0.750321     0.00750321        106.572        1.06572
   11         1       0.816972     0.00816972        115.551        1.15551
   11         1       0.883408     0.00883408        124.566        1.24566
   11         1       0.951037     0.00951037        133.623        1.33623
   11         1        1.01788      0.0101788        142.729        1.42729
   11         1        1.08619      0.0108619        151.887        1.51887
   11         1        1.15165      0.0115165        160.561        1.60561
   11         1        1.22084      0.0122084        169.837        1.69837
   11         1        1.28811      0.0128811        178.628        1.78628
