 *tel    numcsi   CsIInVoltage     errCsIInVoltage           CsIE       errCsIE
   11         1      0.0402315    0.000402315         7.7222       0.077222
   11         1      0.0938029    0.000938029        16.5136       0.165136
   11         1       0.151201     0.00151201        25.5067       0.255067
   11         1       0.213512     0.00213512        34.7996       0.347996
   11         1       0.275607     0.00275607        43.8157       0.438157
   11         1       0.338395     0.00338395        52.6191       0.526191
   11         1       0.405285     0.00405285        61.8217       0.618217
   11         1       0.471542     0.00471542        70.9154       0.709154
   11         1        0.53833      0.0053833        79.9331       0.799331
   11         1       0.605305     0.00605305         88.899        0.88899
   11         1        0.67159      0.0067159        97.8315       0.978315
   11         1       0.738481     0.00738481        106.745        1.06745
   11         1       0.805264     0.00805264        115.652        1.15652
   11         1        0.87161      0.0087161         124.56         1.2456
   11         1       0.939083     0.00939083        133.477        1.33477
   11         1        1.01005      0.0101005        142.937        1.42937
   11         1        1.07807      0.0107807        151.893        1.51893
   11         1        1.14753      0.0114753        160.876        1.60876
   11         1        1.21676      0.0121676        169.891        1.69891
   11         1        1.28811      0.0128811         178.94         1.7894
